env,removed,versus,d_pnl_net_A_0bps,d_pnl_net_A_0bps_lo,d_pnl_net_A_0bps_hi,d_pnl_net_A_0bps_p,d_pnl_net_B_0.5/2bps,d_pnl_net_B_0.5/2bps_lo,d_pnl_net_B_0.5/2bps_hi,d_pnl_net_B_0.5/2bps_p,d_pnl_net_C_1/4bps,d_pnl_net_C_1/4bps_lo,d_pnl_net_C_1/4bps_hi,d_pnl_net_C_1/4bps_p,d_sharpe_1s,d_sharpe_1s_lo,d_sharpe_1s_hi,d_sharpe_1s_p,d_inv_abs_mean,d_inv_abs_mean_lo,d_inv_abs_mean_hi,d_inv_abs_mean_p,d_n_fills,d_n_fills_lo,d_n_fills_hi,d_n_fills_p,d_adverse_cost_500ms,d_adverse_cost_500ms_lo,d_adverse_cost_500ms_hi,d_adverse_cost_500ms_p,d_eff_half_spread_ticks,d_eff_half_spread_ticks_lo,d_eff_half_spread_ticks_hi,d_eff_half_spread_ticks_p,d_fill_rate_orders,d_fill_rate_orders_lo,d_fill_rate_orders_hi,d_fill_rate_orders_p,d_n_cancels,d_n_cancels_lo,d_n_cancels_hi,d_n_cancels_p,d_quote_surv_250ms,d_quote_surv_250ms_lo,d_quote_surv_250ms_hi,d_quote_surv_250ms_p,d_max_drawdown,d_max_drawdown_lo,d_max_drawdown_hi,d_max_drawdown_p,d_pnl_vol_1s,d_pnl_vol_1s_lo,d_pnl_vol_1s_hi,d_pnl_vol_1s_p
noise,full-inventory,L5_latency(full),-2.5453749999997024,-4.488443749999491,-0.6055624999995115,0.0075,-2.877806524999703,-4.858227006562788,-0.933411164061912,0.0035,-3.2102380499997025,-5.204818542499551,-1.2333898612497918,0.002,0.15536069181627155,0.11124254832036329,0.2000062641942991,0.00025,-22.657367218732155,-24.54681931753284,-20.779396773272417,0.00025,10.075,4.674375,15.651250000000005,0.0005,0.04974677803516329,-0.0035007971375484257,0.10633968419856804,0.064,-0.0679191539932788,-0.09034040355538647,-0.045867018127941785,0.00025,-0.00864466993393239,-0.014405306904381248,-0.0028013479609005193,0.0015,58.55,46.474375,70.85,0.00025,-0.008654943898572,-0.01508352962074128,-0.0016092282933541804,0.0105,-5.054500000000365,-5.858178125000405,-4.257321875000457,0.00025,-0.38992441976623826,-0.42758314302821426,-0.3536382049841762,0.00025
noise,full-obi,L5_latency(full),0.10162500000003227,-0.20475937500006353,0.40653750000009714,0.533,0.20378578750003234,-0.05828812437497671,0.4646630534373916,0.139,0.30594657500003253,0.049564674999758265,0.5575786875000517,0.0185,-0.006728568972146108,-0.026386110071935528,0.01255950235001936,0.491,0.19850085665334097,-0.04962128783552246,0.4565694603083952,0.124,-6.525,-11.975624999999999,-1.2243749999999978,0.0185,0.0069600152158741475,-0.03863320166162492,0.059745506269784206,0.801,0.036397186534769164,0.012336138785818615,0.06048809595086592,0.003,0.010365735701990769,0.003890592918044663,0.01636065205995138,0.0015,-54.4,-62.050625,-46.85,0.00025,0.03489015572175242,0.02819880739343709,0.041845587548396575,0.00025,0.057374999999948176,-0.14062812500007263,0.2541499999999425,0.5745,0.00818603687147898,-0.00011646439655551212,0.01705294506864165,0.0535
noise,full-adverse,L5_latency(full),-1.6851249999999456,-2.14229687499992,-1.2299468750000861,0.00025,0.012194687500054546,-0.39429365593743276,0.41609998843742324,0.996,1.709514375000055,1.3098243137501373,2.095609990000198,0.00025,-0.12282408587951935,-0.15428640199594898,-0.09232536574667673,0.00025,1.4879069103369502,1.1724232581382068,1.8269128355225586,0.00025,-103.55,-110.3,-96.725,0.00025,0.1250590987759175,0.08116642052853269,0.1751248819922531,0.00025,0.2763093759932349,0.2511691331489918,0.3013458114711192,0.00025,-0.09687990707353918,-0.10381624324629554,-0.08993202740101074,0.00025,17.9,11.149375000000001,24.101250000000007,0.00025,0.0022249182332428454,-0.0048594351685554765,0.00946701950499783,0.5555,0.3769999999999392,0.16437499999993216,0.6060031249999146,0.002,0.02600561414195387,0.01632621484534491,0.03641989984328159,0.00025
noise,full-queue,L5_latency(full),2.095749999999989,1.7079968750001613,2.4713781249999958,0.00025,1.332236274999989,0.9902357715624914,1.6583351003125888,0.00025,0.5687225499999891,0.24278894750018332,0.8838188268750208,0.001,0.0840021388732772,0.05957171828171731,0.10899640456131042,0.00025,0.14840091376356365,-0.11245288406624784,0.41307824100514,0.289,46.775,40.525,52.425625,0.00025,-0.21337920694887896,-0.2717104319493899,-0.1452973257850868,0.00025,-0.07784020812639536,-0.09946683402589429,-0.05600124952987738,0.00025,0.12522947813940483,0.11924944812934998,0.13104668377876721,0.00025,-493.825,-505.875,-481.77437499999996,0.00025,0.13205487978665895,0.12525061349158398,0.13889930179725127,0.00025,-0.0016250000000276542,-0.21075624999998233,0.20626249999989069,0.9915,0.010623188786380409,0.0002753930229745714,0.021282138075655842,0.0405
noise,full-latency,L5_latency(full),-0.2681250000001185,-0.6506312500003407,0.1097624999999916,0.1695,0.1836678249998816,-0.17211462937518018,0.545094006562384,0.299,0.6354606499998818,0.298978268750078,0.989246697499871,0.0005,-0.01594202809272186,-0.03580062148209825,0.0035711286109914634,0.1055,-0.09828669331810401,-0.23872073101085095,0.05061464877213019,0.181,-27.225,-31.45,-23.025,0.00025,0.05316071887922108,0.015703225927636646,0.09208762485744253,0.0055,0.10395877831067568,0.08811540280059442,0.1211567256293697,0.00025,-0.018322041632022876,-0.023360447485066143,-0.013572626001616251,0.00025,-20.45,-28.650624999999998,-11.85,0.00025,0.01060692691833894,0.003582925356606513,0.017244360510077873,0.005,-0.015250000000014197,-0.15437812499997874,0.1282562499999922,0.8255,-0.0006712433628757442,-0.00814008801636222,0.006897462414223702,0.8115
informed,full-inventory,L5_latency(full),2.086875000000087,-2.9830812500006507,6.932162499999799,0.3745,1.6801237000000868,-3.416482013124439,6.488841333750227,0.487,1.2733724000000872,-3.822238032499235,6.074130484999581,0.5935,0.13365663911813025,0.0992111532889486,0.16871769956362656,0.00025,-22.061950314106227,-23.886473800685323,-20.23421402055968,0.00025,16.1,3.3,29.300625000000004,0.015,0.023731698470407868,-0.09379900068280823,0.13724277433463444,0.66,-0.059114422249160595,-0.11140951290901849,-0.011057963123721959,0.0155,-0.002971555392248225,-0.009755465521025984,0.003710338099929859,0.3935,72.3,54.149375,92.525625,0.00025,-0.006326236740351867,-0.014027383360000974,0.001070356228776766,0.095,-12.242624999999878,-14.586071875000265,-10.042837499999788,0.00025,-0.8058297175930619,-0.8814378394774026,-0.7274038439559743,0.00025
informed,full-obi,L5_latency(full),0.18562499999963755,-1.4848906250002472,1.8319999999995344,0.8345,0.37841799999963743,-1.204003515000256,1.9363533196870744,0.644,0.5712109999996374,-0.9628866643752964,2.0713213874998573,0.464,0.008883553708336451,-0.029047308323999453,0.04423536982987914,0.64,-0.006881781838949164,-0.4169185465448316,0.41237043118218175,0.981,-13.425,-24.025624999999998,-2.774374999999998,0.0135,0.02969225975167773,-0.06863282742897328,0.1308890017300027,0.5575,0.053943062895676575,0.0018309925265183023,0.10240071822164952,0.0425,0.00010378757030122878,-0.006309088268302892,0.0064467603152607396,0.977,-45.15,-62.926874999999995,-26.198749999999993,0.00025,0.009063853501964269,0.0011895236616425854,0.016622330645499124,0.0265,0.18475000000007497,-0.45826249999985924,0.851806250000059,0.5795,-0.01173667329490762,-0.035830753680603074,0.014201198161388028,0.359
informed,full-adverse,L5_latency(full),-2.262500000000193,-3.738296875000339,-0.8741812500004218,0.002,-0.17724720000019278,-1.58193090468761,1.1288935065620431,0.8165,1.9080055999998073,0.5628022156250818,3.1443825181248846,0.0055,-0.08718994062167798,-0.11918813015191417,-0.05606297907547204,0.00025,1.5494860079954311,1.1825588949171901,1.9116012278697887,0.00025,-129.25,-140.82625,-117.499375,0.00025,0.2649369084171148,0.15925034139026403,0.3637536789808914,0.00025,0.5559887147192286,0.5010545111322298,0.6102040060547056,0.00025,-0.10671199442719966,-0.11314321118228393,-0.09990154353813392,0.00025,118.25,103.14750000000001,133.30062500000003,0.00025,-0.01731889231922808,-0.024218464220075578,-0.010871650742499277,0.00025,1.536125000000095,0.9471718750000349,2.1222031250000972,0.00025,0.06929844988182353,0.050065619694125554,0.08909312179896511,0.00025
informed,full-queue,L5_latency(full),0.6951249999999398,-0.9614156249998559,2.3439249999997385,0.401,0.6696914249999397,-0.8749346462500766,2.187063235937622,0.3945,0.6442578499999396,-0.822671798124887,2.0860606737498126,0.3895,0.017515602067921503,-0.014992957231116386,0.04992708927792751,0.297,0.07895488292404337,-0.2848111793260994,0.4492864791547686,0.645,4.125,-6.2,14.651250000000005,0.4375,-0.06798788354789242,-0.1691913338064132,0.039274949238636676,0.208,0.03535460813595589,-0.015081132420148547,0.08763638982500077,0.178,0.09559264542033641,0.0896245654383311,0.10153844313095424,0.00025,-904.2,-923.3256250000001,-885.123125,0.00025,0.14714868385655616,0.14071020533143447,0.15361627946470718,0.00025,-0.07837499999992943,-0.7368874999999118,0.5463875000000807,0.8235,-0.013130455741988106,-0.04347496975511148,0.014801720403222267,0.387
informed,full-latency,L5_latency(full),0.4438749999997501,-1.597765625000088,2.397534374999685,0.67,1.1793589249997498,-0.7268020234374434,3.007887846874751,0.2285,1.9148428499997503,0.13071642312474802,3.62806828312468,0.0375,0.004173716627391499,-0.03248721020562874,0.04120553266151624,0.8345,0.010593946316390523,-0.30709130496858944,0.343187821245003,0.9595,-50.325,-63.075625,-38.073125,0.00025,0.13088366551330136,0.02345405550886187,0.23256548464191162,0.017,0.2364923667795699,0.19069582199178456,0.2800904688623045,0.00025,-0.03535084625542222,-0.04232962194171882,-0.0282689491312022,0.00025,52.65,35.549375,69.700625,0.00025,-0.005524731396037855,-0.013323180019120156,0.00230218076884983,0.1835,-0.05212499999993838,-0.7745562499998452,0.6599093750000289,0.9125,-0.009014392167969964,-0.036827029082529196,0.017068171595362582,0.5255
