env,step,versus,d_pnl_net_A_0bps,d_pnl_net_A_0bps_lo,d_pnl_net_A_0bps_hi,d_pnl_net_A_0bps_p,d_pnl_net_B_0.5/2bps,d_pnl_net_B_0.5/2bps_lo,d_pnl_net_B_0.5/2bps_hi,d_pnl_net_B_0.5/2bps_p,d_pnl_net_C_1/4bps,d_pnl_net_C_1/4bps_lo,d_pnl_net_C_1/4bps_hi,d_pnl_net_C_1/4bps_p,d_sharpe_1s,d_sharpe_1s_lo,d_sharpe_1s_hi,d_sharpe_1s_p,d_inv_abs_mean,d_inv_abs_mean_lo,d_inv_abs_mean_hi,d_inv_abs_mean_p,d_n_fills,d_n_fills_lo,d_n_fills_hi,d_n_fills_p,d_adverse_cost_500ms,d_adverse_cost_500ms_lo,d_adverse_cost_500ms_hi,d_adverse_cost_500ms_p,d_eff_half_spread_ticks,d_eff_half_spread_ticks_lo,d_eff_half_spread_ticks_hi,d_eff_half_spread_ticks_p,d_fill_rate_orders,d_fill_rate_orders_lo,d_fill_rate_orders_hi,d_fill_rate_orders_p,d_n_cancels,d_n_cancels_lo,d_n_cancels_hi,d_n_cancels_p,d_quote_surv_250ms,d_quote_surv_250ms_lo,d_quote_surv_250ms_hi,d_quote_surv_250ms_p,d_max_drawdown,d_max_drawdown_lo,d_max_drawdown_hi,d_max_drawdown_p,d_pnl_vol_1s,d_pnl_vol_1s_lo,d_pnl_vol_1s_hi,d_pnl_vol_1s_p,primary_p_holm
noise,L1_inventory,L0_symmetric,-0.4782499999997086,-2.417124999999646,1.415809375000496,0.6095,-1.3137674874997085,-3.233110034374627,0.553887443437401,0.1795,-2.1492849749997083,-4.049266271249803,-0.2993774556249838,0.0195,0.23917110662751745,0.1906638223766029,0.286791202465786,0.00025,-19.94677327241576,-22.187118075385495,-17.61988577955454,0.00025,39.95,35.074375,44.525625,0.00025,0.11461011590853487,0.08595391394795379,0.14220484259329183,0.00025,-0.169276731607401,-0.18029454085925914,-0.1582971693994692,0.00025,-0.010095167309359212,-0.013236824101720581,-0.006921798223001957,0.00025,137.25,126.974375,146.950625,0.00025,-0.035749526787750806,-0.040264785123037494,-0.031096599604535837,0.00025,-5.269625000000284,-6.375025000000457,-4.200490624999806,0.00025,-0.3290291161987355,-0.3721624912204969,-0.28557375492205683,0.00025,0.6545
noise,L2_obi,L1_inventory,0.8870000000000534,0.6248718750000645,1.1482625000001008,0.00025,0.7581983375000535,0.5196683431249189,0.9996446499999461,0.00025,0.6293966750000536,0.3984831774999985,0.8770724775001961,0.00025,0.06458300683518346,0.041045624208510774,0.08904944740849875,0.00025,-0.3429754426042262,-0.39633316676185043,-0.288662906910337,0.00025,6.175,1.625,10.800625000000004,0.0115,-0.052919660692443436,-0.07576186780006292,-0.030758029468869567,0.00025,-0.01997782316326423,-0.030985239944495483,-0.008968841425222066,0.001,-0.0001891795787101566,-0.0031631659071072776,0.002849200101364358,0.9075,29.25,21.8,37.025,0.00025,0.014092458813624259,0.01020886654288808,0.017923575055288826,0.00025,-0.07799999999998519,-0.2038843750000253,0.054624999999963286,0.23,-0.0040893096032606725,-0.009215482502095572,0.0010544505781627897,0.125,0.00375
noise,L3_adverse,L2_obi,-2.175624999999825,-2.7472718749997957,-1.6134812499998912,0.00025,0.6673179375001752,0.1755778256251388,1.1666575740627623,0.013,3.510260875000175,3.0427567287501107,3.998642804375231,0.00025,-0.18334136375092266,-0.21415613245967757,-0.1513836007998822,0.00025,2.0737578526556253,1.7037632067390063,2.4608523700742433,0.00025,-161.575,-171.701875,-151.25,0.00025,0.18098600449724697,0.11848508989445963,0.2546267110702384,0.00025,0.3880185216667697,0.354099018393623,0.42400393801549263,0.00025,-0.1078909932742369,-0.11359926829162706,-0.10229603348695167,0.00025,49.025,38.05,59.651875000000004,0.00025,-0.001117176331151444,-0.006213728180443699,0.003914550771408315,0.6885,0.534625000000019,0.23461875000003188,0.90402499999997,0.00025,0.028843896545972247,0.020940585913046754,0.03744818604792326,0.00025,0.143
noise,L4_queue,L3_adverse,1.8449999999999656,1.4063499999998508,2.2691281249998783,0.00025,1.2304596874999656,0.8205992468749946,1.61576128687498,0.00025,0.6159193749999654,0.22749317249999293,0.9822959243748219,0.0025,0.08744478870689214,0.06363642027821127,0.11162240258311973,0.00025,-0.10214163335237006,-0.3998293832095945,0.18145666761850388,0.5,39.825,35.35,44.5,0.00025,-0.17042878566893077,-0.21811907867018146,-0.12547428361553564,0.00025,-0.01687765874142867,-0.04197937877421612,0.008156587926835372,0.187,0.11481475214225892,0.11052956593078181,0.11933079018125689,0.00025,-451.125,-460.47562500000004,-441.59812500000004,0.00025,0.12951161788445612,0.12296255892969672,0.1358288560727261,0.00025,-0.1286250000000365,-0.26764062500005387,0.0021437499999392502,0.0535,0.0004890752922663777,-0.006532263848771802,0.007062459173383957,0.8575,0.00375
noise,L5_latency(full),L4_queue,-0.05999999999983494,-0.33477499999972354,0.24762812499991912,0.677,0.280794925000165,0.03506952000036662,0.5537746931250787,0.021,0.6215898500001652,0.3819313075001702,0.8737766168749342,0.00025,-0.009135275089303067,-0.026096033576654198,0.007759196875142017,0.298,-0.15054254711593376,-0.3288467304397487,0.025246287835522515,0.103,-20.25,-24.6,-16.25,0.00025,0.041704709699435495,0.004906088307186296,0.07696456825041917,0.0325,0.1085361978755495,0.09100853714248003,0.12651085743240023,0.00025,-0.009883009943216128,-0.014214766643242378,-0.005508557387648292,0.00025,-26.75,-35.000625,-18.473124999999996,0.00025,0.0073681740040814235,0.001413550120882783,0.01314631186805036,0.0185,-0.0835000000000143,-0.21912812500003898,0.04064062499998791,0.2055,-0.0023920436996750357,-0.006817681523515171,0.0019882103119152924,0.275,0.21000000000000002
noise,L1_inventory,AS_gamma0.01,0.19974999999992277,-0.14215312500010005,0.5495249999998353,0.249,0.1500401374999229,-0.1769214450000339,0.4950870021876106,0.368,0.100330274999923,-0.23042354625002298,0.44414959562490003,0.5755,0.05769671459851513,0.024704431385232036,0.09291423188591895,0.002,-0.7340519703026842,-0.841655482581382,-0.6268093232438606,0.00025,-5.95,-10.05,-1.85,0.002,0.023376717591945047,-0.005654312276828353,0.05371697724578356,0.118,0.01010762298556806,0.00022631890416809002,0.019832943869560346,0.0445,0.0017377150814396481,-0.0006657148612645622,0.003949122400079946,0.1455,-25.2,-33.9,-16.674374999999998,0.00025,-0.0009815582127213646,-0.005466560745476839,0.0036711093267714555,0.6765,-0.3297500000000113,-0.5138812500000783,-0.15274687499995712,0.0005,-0.018798563952377438,-0.02509821191639683,-0.012524325880677489,0.00025,
noise,L5_latency(full),AS_gamma0.01,0.6961250000002817,0.1421187500001889,1.2356468750001879,0.0145,3.086811025000282,2.5596460050002405,3.606051422187791,0.00025,5.477497050000283,4.9266178318752445,6.0474988268754055,0.00025,0.017247871300365026,-0.02046932557048851,0.054345512220736185,0.362,0.7440462592804111,0.4757224443175329,1.0455846659051968,0.00025,-141.775,-152.2,-131.524375,0.00025,0.022718985427253303,-0.02490549084154667,0.07148246613834053,0.367,0.4698068606231944,0.43939758248132943,0.5017422608944907,0.00025,-0.0014107155724646402,-0.00777834030967739,0.005244409518970225,0.675,-424.8,-440.226875,-409.39687499999997,0.00025,0.14887351615828898,0.1415323665782113,0.15668877729775357,0.00025,-0.08525000000002833,-0.31964687500001276,0.16750937499995763,0.492,0.004053054582925477,-0.0043490252807348246,0.012861750938334002,0.3465,
informed,L1_inventory,L0_symmetric,3.110625000000314,-0.10487187499944302,6.442690624999989,0.0565,2.422551475000314,-0.7463331924995753,5.700776004687558,0.134,1.7344779500003142,-1.396016394374697,4.972921971875368,0.273,0.2567817184111961,0.2194554196028641,0.2967426928559773,0.00025,-21.912178754997143,-23.323596873215305,-20.553062178755,0.00025,18.4,5.974375,31.2,0.0025,0.10802415634916762,0.061184097298841736,0.15384282148621434,0.00025,-0.07822150472133844,-0.09177702021166355,-0.06434326449983542,0.00025,-0.010595654589890462,-0.013395225455431353,-0.00776909690143366,0.00025,202.375,180.824375,223.250625,0.00025,-0.013162731537094375,-0.016950255747636995,-0.009252848435838078,0.00025,-10.933375000000046,-12.755628124999976,-9.209590624999848,0.00025,-0.6617500252338911,-0.7005217380840028,-0.623378301295706,0.00025,0.6545
informed,L2_obi,L1_inventory,0.9332499999998756,0.007121874999681596,1.8017468749996701,0.0485,0.7683126999998757,-0.1524481821878311,1.6512445362499593,0.103,0.6033753999998759,-0.37479061062513247,1.5212206181249974,0.22,0.026354554632371706,-0.013778201108237983,0.06183210434539998,0.1745,-0.1659337521416334,-0.26212914049114794,-0.07285800970873794,0.0005,7.85,-3.328124999999999,19.600625000000004,0.183,-0.01032424934710136,-0.057321125624108016,0.03565611649411695,0.6905,0.0036918134808146042,-0.009093589879321318,0.016535493716917322,0.575,-0.002123564531498467,-0.004525378124249245,0.0004144360285943783,0.106,62.0,37.59875,86.275625,0.00025,-0.005041667721131756,-0.009524422618700512,-0.0006184881655346625,0.027,-0.062250000000108587,-0.4712625000001813,0.3915031249998675,0.768,0.0021739209281192275,-0.012500710006386332,0.018232712419612572,0.786,0.6545
informed,L3_adverse,L2_obi,-3.355625,-5.278203125000099,-1.5666124999997941,0.00025,0.6312825125000001,-1.3133183146877259,2.444869402500031,0.484,4.618190025,2.6261407093747278,6.5064394574999165,0.00025,-0.1803641082657526,-0.22426512301885274,-0.13654567057252007,0.00025,3.1852655625356943,2.8055582524271845,3.5677380782410046,0.00025,-225.075,-238.15125,-212.375,0.00025,0.24846645664083233,0.16723139500360434,0.32806931496975467,0.00025,0.7171539885890292,0.6764503552112471,0.7609179782608357,0.00025,-0.08047489967512933,-0.08373542645914848,-0.07735616295484478,0.00025,15.1,-5.825625,36.45125000000001,0.163,0.006165416752862619,0.0019035167456256923,0.01071460117581571,0.0045,2.2415000000000793,1.5241031250000379,3.046146875000106,0.00025,0.13418228438448718,0.10906532429705812,0.15988731336794526,0.00025,0.6545
informed,L4_queue,L3_adverse,0.7127499999996513,-1.3062656250002789,2.871890625000111,0.5325,1.6963164249996514,-0.2552538278128473,3.7871003721871683,0.0935,2.679882849999651,0.7612821381249061,4.6835455524996705,0.006,0.005860195958404838,-0.0363422337537207,0.05182689011132247,0.8315,0.29533123929183314,-0.20299685893774994,0.7643496573386634,0.2235,-45.3,-56.325,-34.498749999999994,0.00025,-0.0378468062005483,-0.1403631012752387,0.0654933738347115,0.467,0.2949840571822966,0.2540055307694598,0.3341708269749085,0.00025,0.1193366748259749,0.11251387861978979,0.12640537045766173,0.00025,-1129.675,-1151.4275,-1108.798125,0.00025,0.19921032074331732,0.19261223276669165,0.20550981161896203,0.00025,0.37987500000007124,-0.6131406249999961,1.362131250000173,0.434,0.009995393282893712,-0.022297210463583097,0.04042283793644916,0.52,0.6545
informed,L5_latency(full),L4_queue,1.2341250000001698,-0.9363812499996297,3.2921500000001918,0.2365,1.6376871250001692,-0.45948216656232505,3.6298063346875695,0.113,2.0412492500001695,0.009501373125362032,3.987705112500077,0.0485,0.021700099665223852,-0.016864291839741728,0.05888256251211745,0.2465,-0.047658480868075295,-0.6058745002855508,0.5175835237007431,0.872,-29.125,-37.475,-20.474375,0.00025,0.11365002200425631,0.009809401448872141,0.2211435906789999,0.0315,0.29459479845821024,0.24024681475648138,0.3499271126232782,0.00025,-0.043897998668793965,-0.050265724185091544,-0.03718587290343214,0.00025,122.375,105.85,137.125,0.00025,-0.030256512234242416,-0.03792605810011196,-0.022105955769078086,0.00025,-0.7886250000000509,-1.6496562500000531,-0.0019531249999532358,0.0495,-0.007320812062030153,-0.03170886268501117,0.01653751603514762,0.556,0.6545
informed,L1_inventory,AS_gamma0.01,6.610499999999989,5.576071874999959,7.678406250000038,0.00025,7.463259137499989,6.3816972337498115,8.580908246875232,0.00025,8.316018274999989,7.180824114375046,9.494780041249996,0.00025,0.17990249592826676,0.1478454163801958,0.21271268681071223,0.00025,0.9472301541976014,0.8285529697315821,1.0687467875499714,0.00025,-57.5,-69.05125,-46.3,0.00025,-0.22492683300339028,-0.28483516154066546,-0.1623065020992602,0.00025,0.17339317359809897,0.15546737731471322,0.19199203779740664,0.00025,0.001242965951128268,-0.0010775699828667834,0.003718297862686655,0.2945,-190.15,-215.1525,-166.44687499999998,0.00025,0.02652327019648567,0.02303866252631023,0.030198254722326935,0.00025,-1.4629999999998595,-2.0412531249999675,-0.9307437499998931,0.00025,-0.027313008458690734,-0.04380779787474144,-0.011096743399552755,0.0005,
