env,removed,versus,d_pnl_net_A_0bps,d_pnl_net_A_0bps_lo,d_pnl_net_A_0bps_hi,d_pnl_net_A_0bps_p,d_pnl_net_B_0.5/2bps,d_pnl_net_B_0.5/2bps_lo,d_pnl_net_B_0.5/2bps_hi,d_pnl_net_B_0.5/2bps_p,d_pnl_net_C_1/4bps,d_pnl_net_C_1/4bps_lo,d_pnl_net_C_1/4bps_hi,d_pnl_net_C_1/4bps_p,d_sharpe_1s,d_sharpe_1s_lo,d_sharpe_1s_hi,d_sharpe_1s_p,d_inv_abs_mean,d_inv_abs_mean_lo,d_inv_abs_mean_hi,d_inv_abs_mean_p,d_n_fills,d_n_fills_lo,d_n_fills_hi,d_n_fills_p,d_adverse_cost_500ms,d_adverse_cost_500ms_lo,d_adverse_cost_500ms_hi,d_adverse_cost_500ms_p,d_eff_half_spread_ticks,d_eff_half_spread_ticks_lo,d_eff_half_spread_ticks_hi,d_eff_half_spread_ticks_p,d_fill_rate_orders,d_fill_rate_orders_lo,d_fill_rate_orders_hi,d_fill_rate_orders_p,d_n_cancels,d_n_cancels_lo,d_n_cancels_hi,d_n_cancels_p,d_quote_surv_250ms,d_quote_surv_250ms_lo,d_quote_surv_250ms_hi,d_quote_surv_250ms_p,d_max_drawdown,d_max_drawdown_lo,d_max_drawdown_hi,d_max_drawdown_p,d_pnl_vol_1s,d_pnl_vol_1s_lo,d_pnl_vol_1s_hi,d_pnl_vol_1s_p
noise,full-inventory,L5_latency(full),1.1471250000006443,-1.1829406249997008,3.492003125000907,0.32,0.8142050250006442,-1.47939086656149,3.127456269688143,0.4805,0.48128505000064425,-1.7834924949995474,2.7470930493758634,0.676,0.2523858217286977,0.2125326436380479,0.29094561769144694,0.00025,-21.13963449457453,-22.802486436322102,-19.536736864648773,0.00025,13.3,6.299375,20.75,0.00025,0.07804292532905928,0.019784928913129714,0.13645436531330637,0.012,-0.06812138749497047,-0.0895003661353427,-0.0476145629766815,0.00025,-0.008380022034445775,-0.015394436912397638,-0.0006152226593691315,0.036,65.525,57.0,74.35,0.00025,-0.016480370289269686,-0.023403341696807082,-0.009399413413410235,0.00025,-7.174999999999967,-8.8354718749999,-5.758603124999978,0.00025,-0.4182063192877804,-0.4819451553717685,-0.36506193670794823,0.00025
noise,full-obi,L5_latency(full),0.22212500000013122,-0.11137812500005138,0.5913968750002473,0.217,0.23736126250013118,-0.05850619843745762,0.5526236218751011,0.126,0.2525975250001311,-0.02955033062499002,0.5317248943752836,0.0765,0.01484204715863699,-0.0064060986914350115,0.038561745362921195,0.1905,-0.11916047972587088,-0.39569567390062815,0.1293928469446031,0.3705,-0.475,-5.825625,5.175,0.844,-0.03493860981680955,-0.08991155749114119,0.01121492441486215,0.162,0.017119511107589268,-0.0006779062972819812,0.034528609207535206,0.062,0.015524191221033582,0.010666095910535764,0.020768793762747054,0.00025,-51.025,-59.10125,-42.824375,0.00025,0.03747300778002209,0.031335157644377096,0.04361702765807964,0.00025,-0.06412500000000065,-0.31579062499999755,0.17024999999997462,0.6135,-0.0048671429277548734,-0.01620241009027485,0.0050515362236606305,0.375
noise,full-adverse,L5_latency(full),-1.8237499999998306,-2.2515062499998146,-1.4133374999998702,0.00025,-0.3201165749998306,-0.7261719059371292,0.09268530218767489,0.1205,1.1835168500001694,0.7615078668752564,1.6274071837503654,0.00025,-0.13574446642669608,-0.16128825172649788,-0.11025518344405683,0.00025,1.143032552826956,0.9134822958309536,1.3944074814391774,0.00025,-85.975,-93.70125,-78.324375,0.00025,0.1148797450528782,0.0741200978080276,0.15625474625015254,0.00025,0.24870564600526063,0.22748960557292128,0.2698787720433089,0.00025,-0.0758679560948322,-0.08246369517033669,-0.06901658514147566,0.00025,7.85,0.525,15.100625000000003,0.04,-0.00041820794190671194,-0.005998689981610614,0.005844051817520319,0.8715,0.31375000000000564,0.11837187500001,0.5511437499999683,0.0005,0.014740533810500481,0.008163073017087586,0.021254227200638444,0.00025
noise,full-queue,L5_latency(full),2.199125000000177,1.7719593750001446,2.6517531250001736,0.00025,1.204329412500177,0.8210767671877062,1.6004492675000612,0.00025,0.20953382500017695,-0.1507167868749956,0.575680639375151,0.253,0.10847442737340315,0.08479790835583696,0.13255614160062348,0.00025,-0.01322101656196455,-0.22704525985151341,0.19000785265562542,0.928,61.6,56.325,67.000625,0.00025,-0.23011415361825463,-0.28468115918519443,-0.17843106493220678,0.00025,-0.12711687154707121,-0.15118831470442154,-0.10233501538642892,0.00025,0.13257471386729797,0.1278949536031448,0.1374718671673883,0.00025,-481.425,-495.300625,-468.225,0.00025,0.13250653571636703,0.1258704094849938,0.1392876230576842,0.00025,-0.2610000000000362,-0.45087812500004937,-0.09362187500000498,0.0005,-0.0006266586418831564,-0.006449045744424915,0.005334869503655544,0.859
noise,full-latency,L5_latency(full),-0.05999999999983494,-0.33477499999972354,0.24762812499991912,0.677,0.280794925000165,0.03506952000036662,0.5537746931250787,0.021,0.6215898500001652,0.3819313075001702,0.8737766168749342,0.00025,-0.009135275089303067,-0.026096033576654198,0.007759196875142017,0.298,-0.15054254711593376,-0.3288467304397487,0.025246287835522515,0.103,-20.25,-24.6,-16.25,0.00025,0.041704709699435495,0.004906088307186296,0.07696456825041917,0.0325,0.1085361978755495,0.09100853714248003,0.12651085743240023,0.00025,-0.009883009943216128,-0.014214766643242378,-0.005508557387648292,0.00025,-26.75,-35.000625,-18.473124999999996,0.00025,0.0073681740040814235,0.001413550120882783,0.01314631186805036,0.0185,-0.0835000000000143,-0.21912812500003898,0.04064062499998791,0.2055,-0.0023920436996750357,-0.006817681523515171,0.0019882103119152924,0.275
informed,full-inventory,L5_latency(full),2.6483749999993496,-0.8992593750002846,6.068703124999831,0.141,2.2790145874993493,-1.2280667806254404,5.676606056561615,0.198,1.9096541749993499,-1.5696827768759878,5.2848044168743895,0.277,0.1423118674249662,0.11279886593741653,0.17224197518123932,0.00025,-19.81383495145631,-21.46605296973158,-18.201650128498,0.00025,15.775,7.775,23.65,0.00025,0.08261299017634445,-0.03309024409133172,0.19221730711910512,0.1465,-0.019196419068560445,-0.07900489547981462,0.03751395000241806,0.533,-0.009486619157425042,-0.016066712775034037,-0.0032225086614046986,0.004,88.075,66.999375,109.325,0.00025,-0.01293171141606612,-0.020988475699169548,-0.004534667084963935,0.0025,-11.186124999999683,-12.941337499999502,-9.576731249999781,0.00025,-0.6948050164444753,-0.7579752290846107,-0.6349715328684387,0.00025
informed,full-obi,L5_latency(full),0.0984999999998248,-1.7264125000000445,1.9623343749999895,0.901,0.175043987499825,-1.576208879375005,1.968769862812294,0.832,0.25158797499982494,-1.4173828175001864,2.0145134731246035,0.766,0.0056694785266621205,-0.028608384220510905,0.04154900329299486,0.7425,0.012478583666476428,-0.42522879782981143,0.5033555825242721,0.983,-6.175,-16.777499999999996,4.525,0.257,0.06547516699652804,-0.05731204381421425,0.19818392762285603,0.303,0.10089925292528941,0.044351981145630194,0.16347080721943097,0.001,-0.0023481761376119453,-0.009802932293513474,0.005208801025389239,0.563,-9.65,-28.126875,9.151250000000005,0.299,0.001985842391328309,-0.006633307913323607,0.010330447627129159,0.6215,-0.4501249999998798,-1.1125562499998944,0.16058125000017376,0.148,-0.006836402126053245,-0.02634783163174023,0.013023174052900594,0.5065
informed,full-adverse,L5_latency(full),-2.1810000000003824,-3.753343750000295,-0.5464375000004993,0.0075,-0.5037352750003823,-1.9777186862503757,1.0304955368744768,0.5255,1.1735294499996178,-0.22121394437505443,2.6192505924997658,0.095,-0.07094550676363405,-0.10233295642176243,-0.03883210346551924,0.00025,1.7686036550542545,1.4115730296973157,2.1389438178183897,0.00025,-100.675,-111.0,-90.674375,0.00025,0.2301272172762098,0.1271368591146696,0.33794395486961715,0.00025,0.5828599904928353,0.5423198889252046,0.6253986709891498,0.00025,-0.10968407672423326,-0.11658532775726287,-0.10288012794741619,0.00025,163.85,144.47375,182.92562500000003,0.00025,-0.030762920972472834,-0.03782022225599752,-0.023472007182362926,0.00025,0.9891250000000624,0.33304375000011727,1.6692968750001203,0.0035,0.05273066490934854,0.03215621801095223,0.074204988629363,0.00025
informed,full-queue,L5_latency(full),1.1369999999998004,-0.47235625000003184,2.6886406250000614,0.174,1.3656222624998005,-0.15139379093779343,2.857381755937241,0.0855,1.5942445249998003,0.12688977249976108,2.995617696250183,0.0295,0.009460312286374204,-0.02167523978624841,0.04043638539815324,0.552,0.557395773843518,0.12917868360936616,0.997996145059966,0.0105,-8.15,-17.35,1.65,0.091,-0.06334280483530949,-0.1811061405128416,0.04249065722170891,0.2645,0.20229032366441882,0.14564822417854906,0.25273248395935627,0.00025,0.09925435037632406,0.09374562636488463,0.10498549127949906,0.00025,-991.8,-1009.4506250000001,-973.1743749999999,0.00025,0.16183961154999177,0.15591704245830065,0.16754058849476391,0.00025,-0.22200000000001338,-0.9491312500000749,0.5045250000000413,0.5565,0.013129633026292442,-0.014032833382322753,0.039601492795092466,0.3475
informed,full-latency,L5_latency(full),1.2341250000001698,-0.9363812499996297,3.2921500000001918,0.2365,1.6376871250001692,-0.45948216656232505,3.6298063346875695,0.113,2.0412492500001695,0.009501373125362032,3.987705112500077,0.0485,0.021700099665223852,-0.016864291839741728,0.05888256251211745,0.2465,-0.047658480868075295,-0.6058745002855508,0.5175835237007431,0.872,-29.125,-37.475,-20.474375,0.00025,0.11365002200425631,0.009809401448872141,0.2211435906789999,0.0315,0.29459479845821024,0.24024681475648138,0.3499271126232782,0.00025,-0.043897998668793965,-0.050265724185091544,-0.03718587290343214,0.00025,122.375,105.85,137.125,0.00025,-0.030256512234242416,-0.03792605810011196,-0.022105955769078086,0.00025,-0.7886250000000509,-1.6496562500000531,-0.0019531249999532358,0.0495,-0.007320812062030153,-0.03170886268501117,0.01653751603514762,0.556
