env,latency_ms,arm,seed,pnl_net,pnl_gross,fees,pnl_edge,pnl_inventory,pnl_realized,pnl_unrealized,pnl_vol_1s,sharpe_1s,sharpe_ann_247,max_drawdown,pnl_1s_q05,pnl_1s_cvar05,pnl_1s_worst,inv_mean,inv_std,inv_abs_mean,inv_max_abs,inv_q05,inv_q95,inv_final,n_fills,n_maker_fills,n_taker_fills,filled_qty,n_quotes,n_cancels,n_rejects,fill_rate_orders,fill_ratio_qty,cancel_rate,quote_to_trade,quote_lifetime_mean_s,quote_lifetime_median_s,avg_edge_ticks,pnl_per_lot,killed,kill_time_s,sigma_hat_final,n_sigma_clamped,n_offset_clamped,market_trades,mid_max_dev_ticks,diverged,market_spread_mean,mean_abs_inv,mean_abs_obi,mean_abs_ret,mean_abs_adverse,mean_abs_latency,mean_abs_h0,n_kept_by_queue,n_adverse_measured,ack_latency_ms
noise,0.0,as_gamma0.01,4200000,6.084999999999567,6.084999999999567,0.0,15.47,-9.385000000000433,6.091250000000323,-0.0062500000007554846,0.09936987844512024,0.3499192020309211,1965.0385682092426,1.0149999999999864,-0.06650000000002193,-0.20611111111108946,-0.6099999999999852,-0.2501427755568247,4.264019271194792,3.342090234151913,15.0,-8.0,6.0,-1.0,339,339,0,1223.0,1228,1037,0,0.24429967426710097,0.199185667752443,0.8444625407166124,6.68141592920354,0.283768352365416,0.161900043,1.2649223221586263,0.004975470155355329,0.0,nan,1.5240458578542275,0.0,0.0,4806.0,19.5,0.0,1.364363221016562,,,,,,,,,
noise,0.0,as_gamma0.01,4200001,1.8949999999996265,1.8949999999996265,0.0,16.06,-14.165000000000372,1.9099999999996182,-0.014999999999991687,0.16610055909209662,0.06519286562163377,366.1030734382862,2.5550000000000637,-0.14100000000005933,-0.5083333333333431,-1.2000000000000597,0.7749857224443175,5.323640174056,3.9971444888635066,26.0,-7.0,8.0,1.0,367,367,0,1289.0,1279,1079,0,0.25254104769351055,0.20156372165754496,0.8436278342455042,6.425068119891008,0.27400412174628036,0.169148647,1.2459270752521334,0.001470131885182022,0.0,nan,2.611454463686184,0.0,0.0,4945.0,42.5,0.0,1.3557966876070817,,,,,,,,,
noise,0.0,as_gamma0.01,4200002,7.504999999999427,7.504999999999427,0.0,15.285,-7.780000000000573,7.520000000000378,-0.01500000000095092,0.08132408962518492,0.5273433060654873,2961.3977429397655,0.4600000000003206,-0.06299999999994269,-0.143333333333323,-0.2449999999999477,-0.013706453455168474,4.7928935022589485,3.6596230725299828,17.0,-7.0,8.0,3.0,356,356,0,1205.0,1185,998,0,0.2523206751054852,0.20337552742616033,0.8421940928270042,6.132022471910112,0.2943992041859679,0.193956049,1.2684647302904564,0.006228215767634379,0.0,nan,1.4497175917222003,0.0,0.0,4835.0,25.0,0.0,1.356,,,,,,,,,
noise,0.0,as_gamma0.01,4200003,4.459999999999525,4.459999999999525,0.0,12.22,-7.760000000000476,4.429999999999181,0.030000000000343974,0.09506603011644986,0.26808434363455785,1505.4791841015203,1.1850000000001728,-0.10450000000001863,-0.23833333333336448,-0.6550000000000438,-0.182181610508281,4.284492114829669,3.3175328383780696,19.0,-7.0,7.0,-2.0,277,277,0,972.0,1033,884,0,0.23523717328170377,0.188189738625363,0.8557599225556631,6.92057761732852,0.33908876604752664,0.2,1.257201646090535,0.004588477366254655,0.0,nan,1.474647676870816,0.0,0.0,4680.0,30.5,0.0,1.3291428571428572,,,,,,,,,
noise,0.0,as_gamma0.01,4200004,7.004999999999541,7.004999999999541,0.0,17.52,-10.515000000000459,7.0066666666668755,-0.0016666666673348374,0.09743771535900778,0.4108118840952309,2306.993133959248,0.560000000000116,-0.07099999999993256,-0.18944444444445846,-0.4550000000001546,-0.28383780696744715,4.315772185195181,3.1781838949171903,16.0,-8.0,6.0,-9.0,393,393,0,1347.0,1290,1086,0,0.26124031007751936,0.20883720930232558,0.8418604651162791,6.0458015267175576,0.2717391304347826,0.1508124845,1.3006681514476615,0.0052004454342981,0.0,nan,1.861578963329952,0.0,0.0,4990.0,25.0,0.0,1.408338092518561,,,,,,,,,
noise,0.0,as_gamma0.01,4200005,5.17999999999995,5.17999999999995,0.0,16.745,-11.565000000000051,5.159999999999816,0.02000000000013369,0.09089345790350375,0.3256560008028773,1828.7838959174526,0.7050000000000125,-0.10600000000009684,-0.1966666666666757,-0.3700000000000898,0.2781267846944603,3.843271041596477,2.812678469446031,16.0,-6.0,7.0,6.0,373,373,0,1296.0,1301,1112,0,0.24980784012298232,0.19923136049192927,0.8547271329746349,6.46916890080429,0.2694111081385681,0.161300701,1.2920524691358024,0.003996913580246875,0.0,nan,1.86268718683606,0.0,0.0,4925.0,40.5,0.0,1.386065105653912,,,,,,,,,
noise,0.0,as_gamma0.01,4200006,4.549999999999841,4.549999999999841,0.0,16.195,-11.64500000000016,4.527272727272552,0.022727272727288472,0.09523262504814814,0.2730156812001548,1533.1720584937086,0.7949999999999591,-0.08950000000000669,-0.22888888888883863,-0.6099999999998715,-0.2661336379211879,4.346104534940298,3.3489434608794975,15.0,-8.0,6.0,6.0,374,374,0,1292.0,1281,1094,0,0.2568306010928962,0.20171740827478532,0.8540202966432474,6.350267379679145,0.2734689253893667,0.170210062,1.2534829721362228,0.003521671826625264,0.0,nan,2.0268530555044153,0.0,0.0,4930.0,33.0,0.0,1.379073756432247,,,,,,,,,
noise,0.0,as_gamma0.01,4200007,4.5499999999995,4.5499999999995,0.0,15.93,-11.3800000000005,4.439999999999963,0.10999999999953669,0.1362732633309022,0.19079311204915728,1071.4354100868454,1.4899999999997817,-0.1395000000003392,-0.38611111111114205,-1.0600000000000591,0.00799543118218161,5.02272892577057,3.672187321530554,27.0,-9.0,7.0,-8.0,352,352,0,1256.0,1192,999,0,0.2575503355704698,0.21073825503355706,0.8380872483221476,6.224431818181818,0.29411764705882354,0.15014373,1.268312101910828,0.003622611464967755,0.0,nan,1.651483667700456,0.0,0.0,4750.0,17.5,0.0,1.3226727584237579,,,,,,,,,
noise,0.0,as_gamma0.01,4200008,4.214999999999691,4.214999999999691,0.0,14.41,-10.19500000000031,4.230000000000122,-0.015000000000431335,0.1000690484111759,0.24069094958059556,1351.6463120620117,1.1950000000001637,-0.13499999999999085,-0.2583333333333321,-0.3450000000000273,0.25471159337521415,5.315430090503771,3.8846373500856655,20.0,-7.0,11.0,-3.0,344,344,0,1143.0,1171,998,0,0.2502134927412468,0.19521776259607174,0.852263023057216,6.305232558139535,0.29916066974850297,0.1625524,1.2607174103237095,0.00368766404199448,0.0,nan,1.6928407885276084,0.0,0.0,4743.0,21.0,0.0,1.3375214163335236,,,,,,,,,
noise,0.0,as_gamma0.01,4200009,5.989999999999384,5.989999999999384,0.0,16.315,-10.325000000000617,5.969999999999705,0.01999999999967894,0.08745839264101207,0.3913697747575231,2197.812230270056,0.43000000000006366,-0.07500000000000569,-0.16055555555554848,-0.339999999999975,-0.29754426042261567,4.238194841122708,3.1553398058252426,18.0,-8.0,6.0,-2.0,343,343,0,1240.0,1159,960,0,0.26056945642795515,0.21397756686798963,0.8283002588438308,6.177842565597667,0.3023514982878133,0.185059897,1.3157258064516129,0.004830645161289826,0.0,nan,1.6341470757901457,0.0,0.0,4891.0,24.5,0.0,1.3586521987435751,,,,,,,,,
