env,delta,n_probes,fills,exposure_s,lam,lam_se,fill_frac,lam_first_half,lam_second_half
noise,0.5,10925,7169,3382.8054089179996,2.119246936610825,0.02502950575276503,0.6562013729977116,2.10894922459552,2.1368070110356427
noise,1.0,6222,3401,2100.8444012499995,1.6188728674890962,0.0277593586714914,0.5466088074574091,1.7129624232731493,1.4798760327549167
noise,1.5,22597,5524,9939.238511159003,0.5557769836993128,0.007477797883691332,0.24445722883568616,0.5069627910745761,0.6120395161480757
noise,2.0,6095,1397,2676.4115847609996,0.5219675508633514,0.013965140262759397,0.22920426579163247,0.5330550463833998,0.5093634952036605
noise,2.5,22112,1919,10625.401841775,0.1806049341546057,0.004122798636696177,0.0867854558610709,0.14994809384777386,0.21262853084620012
noise,3.0,6176,583,2939.3340670829994,0.19834424624573901,0.008214579351730918,0.09439766839378239,0.19325539148179036,0.2036894859688169
noise,3.5,11307,424,5559.912937495999,0.07626018694295518,0.0037035220719207197,0.03749889449013885,0.06305522538394054,0.08972520102805753
noise,4.0,3014,142,1469.256220779,0.09664754043015832,0.008110481425421444,0.047113470471134705,0.10489379360405161,0.08819716283572512
noise,4.5,11107,186,5513.610891570999,0.033734698305306565,0.002473548091294472,0.016746196092554243,0.026007138318497217,0.041527933498782435
noise,5.0,2952,80,1457.6220090930003,0.05488391331973623,0.006136208052706818,0.02710027100271003,0.046319915552049,0.06357134197979808
noise,5.5,11047,103,5499.981093849001,0.018727337102156922,0.0018452593548807666,0.009323798316284965,0.01704927550734959,0.02041362588631285
noise,6.0,3093,44,1537.32030047,0.02862123136378803,0.004314812975983494,0.014225670869705788,0.022045225188672905,0.03523984105803442
noise,6.5,10969,92,5464.484205127999,0.01683598973781735,0.0017552732676259545,0.008387273224541891,0.013145762379929109,0.02054322807915168
noise,8.0,3089,27,1537.113810206,0.01756538769005109,0.0033804604370903787,0.008740692780835222,0.019475418258087726,0.01564716430862543
noise,8.5,11182,42,5581.885064041,0.007524339809604417,0.0011610308388750904,0.00375603648721159,0.006085302929439396,0.008966136327997223
informed,0.5,9339,7495,2098.873288949,3.570963544804118,0.04124768679841508,0.8025484527251312,3.9231337058122313,2.77521551377521
informed,1.0,9405,6898,2305.4841350669994,2.991996299206604,0.03602462402933466,0.7334396597554492,3.5261034148836874,1.9789272372192037
informed,1.5,18839,9421,6637.6153048040005,1.419335042388117,0.014622998095435356,0.500079622060619,1.5194252985615508,1.2787577880540644
informed,2.0,9447,4510,3336.2814913270004,1.3518044001155776,0.02012915688802142,0.47740023287816236,1.5433648076666875,1.089885040932158
informed,2.5,18739,5490,7876.256159508,0.6970316720048043,0.009407329156242072,0.2929718768344095,0.7284263439006988,0.6598164039659099
informed,3.0,9593,2905,3957.575632370999,0.7340352452745428,0.013618956886632366,0.3028249765453977,0.8224285664733056,0.6282727273372201
informed,3.5,9467,1638,4306.419100291001,0.3803624222011541,0.009398112851338892,0.17302207668744057,0.3928948692457222,0.3665855465059329
informed,4.0,4749,939,2116.2555356479997,0.44370823096865625,0.014479870873772421,0.19772583701831964,0.48508780465722917,0.39760496922554156
informed,4.5,9271,1044,4374.053861430999,0.2386801884644486,0.007386966385511377,0.1126092115197929,0.22922523455280128,0.24870550678168385
informed,5.0,4608,625,2132.997402213,0.2930148903845631,0.011720595615382523,0.13563368055555555,0.31845607052741226,0.2656509228485958
informed,5.5,9337,725,4491.233441694,0.16142558818464467,0.00599519583767542,0.07764806683088786,0.15105013568331638,0.17222550160656602
informed,6.0,4743,442,2251.5480718740005,0.19630937732194015,0.009337484863971918,0.0931899641577061,0.21591019125289226,0.17572759556816636
informed,6.5,9070,526,4402.112075576,0.11948809820594467,0.005209928663471957,0.057993384785005514,0.12087173451995756,0.11806270810943567
informed,8.0,4753,264,2308.2304342179996,0.1143733294936127,0.0070391918278196386,0.05554386703134862,0.12135522614194816,0.10719508388344887
informed,8.5,9263,348,4538.133195582,0.07668351390364386,0.004110667823575245,0.037568822195832886,0.08644239644249023,0.06673813587721242
