env,horizon_s,obi_lo,obi_hi,mean_dm_ticks,ci_lo,ci_hi,sessions,mean_n
noise,0.01,-1.0001,-0.8,-0.040870887910567026,-0.04301751905668557,-0.038622589247753226,24,1854.1666666666667
noise,0.01,-0.8,-0.4,-0.01966960702368075,-0.02114690219573465,-0.018344064000315255,24,6101.458333333333
noise,0.01,-0.4,-0.1,-0.006323869737078716,-0.00725771750438136,-0.0054481668479382205,24,5162.25
noise,0.01,-0.1,0.1,-0.0009573954611520897,-0.0021027759530755606,0.00036042835240152526,24,3435.8333333333335
noise,0.01,0.1,0.4,0.00624550356630695,0.004932822174124634,0.00752875696725224,24,4923.791666666667
noise,0.01,0.4,0.8,0.020137159109767568,0.019004886012872473,0.02123446290452871,24,6016.875
noise,0.01,0.8,1.0001,0.0383659694780805,0.03615974350160224,0.04053054222498052,24,1965.9166666666667
noise,0.05,-1.0001,-0.8,-0.16630768711093627,-0.1748801562143062,-0.15755582190803713,24,1853.7083333333333
noise,0.05,-0.8,-0.4,-0.08344107973543508,-0.08839856924781456,-0.07863204236307973,24,6100.666666666667
noise,0.05,-0.4,-0.1,-0.0266177868123097,-0.03020878994546566,-0.022834153235329745,24,5161.333333333333
noise,0.05,-0.1,0.1,-0.0040956466025124484,-0.00825799736561966,-3.462043616948968e-05,24,3435.4583333333335
noise,0.05,0.1,0.4,0.02704814539997355,0.021583959045751326,0.03240093664125783,24,4923.083333333333
noise,0.05,0.4,0.8,0.08373387347247263,0.07845471781014608,0.08881328159203815,24,6016.458333333333
noise,0.05,0.8,1.0001,0.15915706015433526,0.1507007029857121,0.16781216385111078,24,1965.5833333333333
noise,0.1,-1.0001,-0.8,-0.2705841803491775,-0.28196042719028014,-0.2601730389919138,24,1853.1666666666667
noise,0.1,-0.8,-0.4,-0.14140179828163202,-0.14716894440013153,-0.13548362929503222,24,6099.625
noise,0.1,-0.4,-0.1,-0.048432588173331514,-0.05482503145202293,-0.041933641199482584,24,5160.333333333333
noise,0.1,-0.1,0.1,-0.005429976876776686,-0.012431050952282243,0.0013912418634519788,24,3435.2916666666665
noise,0.1,0.1,0.4,0.04876386396994626,0.04090036838943843,0.05648318564280614,24,4922.291666666667
noise,0.1,0.4,0.8,0.13932162376509663,0.12868475546771402,0.14976479199462836,24,6015.416666666667
noise,0.1,0.8,1.0001,0.26286486328841824,0.24955060608609772,0.2764373277912898,24,1965.1666666666667
noise,0.5,-1.0001,-0.8,-0.5410285003351986,-0.5799224145381616,-0.5051972540960471,24,1850.5833333333333
noise,0.5,-0.8,-0.4,-0.3070870372500399,-0.3318533026592414,-0.28184786433275577,24,6090.083333333333
noise,0.5,-0.4,-0.1,-0.11903449508158633,-0.14288509724930337,-0.09430269708900413,24,5152.0
noise,0.5,-0.1,0.1,-0.027439335477504573,-0.05728757628690689,0.001870675638282927,24,3431.125
noise,0.5,0.1,0.4,0.11284267745681549,0.08664595297326022,0.14027856546829423,24,4915.125
noise,0.5,0.4,0.8,0.302120399848612,0.27106735935977355,0.3327651680636137,24,6009.041666666667
noise,0.5,0.8,1.0001,0.5094132450813605,0.4643858048742498,0.5539194523587915,24,1963.3333333333333
noise,1.0,-1.0001,-0.8,-0.5981873036403214,-0.6679501116132804,-0.5348465731108617,24,1846.0833333333333
noise,1.0,-0.8,-0.4,-0.3412781979811528,-0.40044577582131863,-0.28553448483899063,24,6078.125
noise,1.0,-0.4,-0.1,-0.14211696029931709,-0.1899680720590509,-0.09799063158695699,24,5142.708333333333
noise,1.0,-0.1,0.1,-0.054623171917823454,-0.10392922606498241,-0.00860390582259427,24,3426.125
noise,1.0,0.1,0.4,0.1134609592695076,0.06837985497149791,0.15714661689497306,24,4908.958333333333
noise,1.0,0.4,0.8,0.3353319914572222,0.2847408707330938,0.3858266275289241,24,5999.25
noise,1.0,0.8,1.0001,0.5790975168637077,0.4999849414382914,0.6577399249949062,24,1960.0416666666667
noise,5.0,-1.0001,-0.8,-0.8130366522658673,-1.0428222905704931,-0.581801435871004,24,1822.3333333333333
noise,5.0,-0.8,-0.4,-0.4071906899725383,-0.6507450250300343,-0.16617810684194984,24,5994.333333333333
noise,5.0,-0.4,-0.1,-0.23160600184049826,-0.4740114704838899,0.0026359410775450946,24,5081.583333333333
noise,5.0,-0.1,0.1,-0.1499149351297653,-0.3868242740585071,0.07557695875724967,24,3381.2083333333335
noise,5.0,0.1,0.4,0.11580673717644295,-0.1156094493747799,0.34803806924565794,24,4834.458333333333
noise,5.0,0.4,0.8,0.352663732676389,0.13183114255746464,0.5767854396100389,24,5914.166666666667
noise,5.0,0.8,1.0001,0.4971268867848872,0.29258970393458555,0.7047904001444366,24,1933.7083333333333
informed,0.01,-1.0001,-0.8,-0.07466329708002827,-0.07950055903263441,-0.07018547268623493,24,1810.2083333333333
informed,0.01,-0.8,-0.4,-0.04127909252827749,-0.04358640704553115,-0.03884831980302876,24,6192.291666666667
informed,0.01,-0.4,-0.1,-0.014938816810068966,-0.016581643641616323,-0.013398609695413554,24,4941.375
informed,0.01,-0.1,0.1,0.0003723470748617382,-0.0022682083470595012,0.0033158150717210923,24,3281.0833333333335
informed,0.01,0.1,0.4,0.013681650597500683,0.01165126265329528,0.015848058593008547,24,4786.375
informed,0.01,0.4,0.8,0.0409597051496762,0.038659193312030556,0.04304634195594391,24,6187.75
informed,0.01,0.8,1.0001,0.07764242278580678,0.07314671471097303,0.08182166660750104,24,1969.4583333333333
informed,0.05,-1.0001,-0.8,-0.28476511125589526,-0.3026969430571609,-0.2669236834049729,24,1809.9583333333333
informed,0.05,-0.8,-0.4,-0.15788569485278212,-0.1661402090029884,-0.15011841299832546,24,6191.375
informed,0.05,-0.4,-0.1,-0.05790939832744716,-0.06449091629729549,-0.05155660744582699,24,4940.916666666667
informed,0.05,-0.1,0.1,0.004408415040962008,-0.007007012919872205,0.017534328298195102,24,3280.4583333333335
informed,0.05,0.1,0.4,0.06258840393167166,0.053456317280305754,0.0714588916299584,24,4785.958333333333
informed,0.05,0.4,0.8,0.15262616522238726,0.1447758509847096,0.16043781773702315,24,6187.041666666667
informed,0.05,0.8,1.0001,0.28621522249571457,0.2708190776856002,0.30065059879495015,24,1968.9583333333333
informed,0.1,-1.0001,-0.8,-0.4261837417281808,-0.44912303953007526,-0.4023612014563935,24,1809.5833333333333
informed,0.1,-0.8,-0.4,-0.24571246789563875,-0.25873727389930723,-0.23246890937693337,24,6190.666666666667
informed,0.1,-0.4,-0.1,-0.09139255350047472,-0.10309279952222163,-0.07958944837360733,24,4940.0
informed,0.1,-0.1,0.1,0.0019173669876643938,-0.018102613096650594,0.025646798270307865,24,3280.0416666666665
informed,0.1,0.1,0.4,0.10685610854066115,0.09013571884970718,0.123570392897001,24,4785.333333333333
informed,0.1,0.4,0.8,0.23449650784580386,0.2198254743160014,0.24862344104521694,24,6185.625
informed,0.1,0.8,1.0001,0.43242108246029404,0.40839744787772747,0.4552564497479267,24,1968.4166666666667
informed,0.5,-1.0001,-0.8,-0.6902467339837305,-0.7587332113301288,-0.6266031252926161,24,1807.875
informed,0.5,-0.8,-0.4,-0.4152557335444062,-0.4531083294684782,-0.37901936017197724,24,6183.125
informed,0.5,-0.4,-0.1,-0.1522698876125681,-0.19603996916151162,-0.10913780442109829,24,4932.958333333333
informed,0.5,-0.1,0.1,0.027178083578010406,-0.017801169434909853,0.075145227714337,24,3274.7916666666665
informed,0.5,0.1,0.4,0.20011372630332738,0.14847365619607386,0.2512186074347851,24,4778.125
