env,gamma,k,n,pnl_net_mean,pnl_net_ci_lo,pnl_net_ci_hi,pnl_net_std,pnl_net_median,pnl_edge_mean,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_edge_std,pnl_edge_median,pnl_inventory_mean,pnl_inventory_ci_lo,pnl_inventory_ci_hi,pnl_inventory_std,pnl_inventory_median,pnl_vol_1s_mean,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,pnl_vol_1s_std,pnl_vol_1s_median,sharpe_1s_mean,sharpe_1s_ci_lo,sharpe_1s_ci_hi,sharpe_1s_std,sharpe_1s_median,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,max_drawdown_std,max_drawdown_median,inv_std_mean,inv_std_ci_lo,inv_std_ci_hi,inv_std_std,inv_std_median,inv_abs_mean_mean,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_abs_mean_std,inv_abs_mean_median,inv_max_abs_mean,inv_max_abs_ci_lo,inv_max_abs_ci_hi,inv_max_abs_std,inv_max_abs_median,n_fills_mean,n_fills_ci_lo,n_fills_ci_hi,n_fills_std,n_fills_median,fill_rate_orders_mean,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,fill_rate_orders_std,fill_rate_orders_median,avg_edge_ticks_mean,avg_edge_ticks_ci_lo,avg_edge_ticks_ci_hi,avg_edge_ticks_std,avg_edge_ticks_median,quote_to_trade_mean,quote_to_trade_ci_lo,quote_to_trade_ci_hi,quote_to_trade_std,quote_to_trade_median,killed_mean,killed_ci_lo,killed_ci_hi,killed_std,killed_median,diverged_mean,diverged_ci_lo,diverged_ci_hi,diverged_std,diverged_median,n_sigma_clamped_mean,n_sigma_clamped_ci_lo,n_sigma_clamped_ci_hi,n_sigma_clamped_std,n_sigma_clamped_median,n_offset_clamped_mean,n_offset_clamped_ci_lo,n_offset_clamped_ci_hi,n_offset_clamped_std,n_offset_clamped_median,d_pnl_net,d_pnl_net_lo,d_pnl_net_hi,d_pnl_net_sig,d_pnl_edge,d_pnl_edge_lo,d_pnl_edge_hi,d_pnl_edge_sig,d_pnl_inventory,d_pnl_inventory_lo,d_pnl_inventory_hi,d_pnl_inventory_sig,d_inv_abs_mean,d_inv_abs_mean_lo,d_inv_abs_mean_hi,d_inv_abs_mean_sig,d_inv_std,d_inv_std_lo,d_inv_std_hi,d_inv_std_sig,d_n_fills,d_n_fills_lo,d_n_fills_hi,d_n_fills_sig
noise,0.0,0.9388129235876298,30,7.139833333334578,4.751350000001542,9.479687500001077,6.779417822036037,9.525000000004155,15.278500000000001,14.793325000000001,15.806016666666666,1.4400701311945265,15.145,-8.138666666665422,-10.542170833331296,-5.7031249999992575,6.900277222483086,-6.737499999998331,0.45643835108790937,0.3985607795961479,0.5180472166321142,0.16989677441002282,0.41923880415224896,0.11714610491491428,0.0797337189846634,0.15618588184500798,0.10822155210637546,0.11653438053510108,6.104833333332946,4.743716666666592,7.577020833332875,3.9938488228197384,4.622499999998695,18.13379424421703,16.537434406220523,20.074680122089973,5.116720767226284,17.075985468333663,22.964363221016566,20.734081001332566,25.089960022844096,6.09353650244196,23.418903483723586,49.166666666666664,47.9,49.9,3.1522661069769167,50.0,290.46666666666664,281.16583333333335,301.0683333333333,28.68705503248428,286.0,0.25412141391484344,0.24935266213162585,0.2588857173027842,0.013605462790240911,0.2530889005068988,1.5099666776324767,1.4990037646806915,1.5212143524236694,0.030922350243741983,1.5078920945485361,6.505938577466785,6.367630037825445,6.655215937787879,0.40614527120837784,6.4838590988600036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
noise,0.005,0.9388129235876298,30,5.812666666666604,4.927308333333379,6.684554166666651,2.5159928914614595,5.97500000000062,16.27883333333333,15.732945833333336,16.81535,1.553873182668422,16.3625,-10.466166666666728,-11.303341666666762,-9.580324999999968,2.4598933546177006,-10.870000000001086,0.1451441507868678,0.12923613766897163,0.16523580980032893,0.051800604258232054,0.13077879565396722,0.2625200721874722,0.2122016652327548,0.31231973738117214,0.14337805092721734,0.2584837993008746,1.6241666666666896,1.3129958333333533,1.986400000000048,0.9500790197021788,1.4699999999997502,6.213197013545569,5.958263701884793,6.480065226306247,0.741374392549885,6.177217680534965,4.874928612221587,4.66575147534742,5.085719112887873,0.6122366512921249,4.949457452884066,22.666666666666668,21.566666666666666,23.733333333333334,3.133064307355179,22.5,347.56666666666666,336.4,358.7683333333333,31.59734093279035,346.0,0.2606133105332884,0.255695571480665,0.2651910477909066,0.013243668144272032,0.26236894221808016,1.3515430590493702,1.3387341385650915,1.3636288954716307,0.03530693503173427,1.3481463149614696,6.043224314213843,5.911969527815184,6.188680561032048,0.3883793784506513,5.965757731664095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3271666666679744,-3.6186791666675706,0.977470833332111,False,1.0003333333333333,0.8203291666666668,1.1848750000000001,True,-2.3275000000013084,-4.568879166668069,-0.07490416666786259,True,-18.089434608794974,-20.247509518370457,-15.837778412335808,True,-11.920597230671467,-13.84330520778909,-10.355503914320472,True,57.1,52.46666666666667,61.666666666666664,True
noise,0.01,0.9388129235876298,30,4.928999999999731,4.042070833333016,5.775366666666398,2.510970550095842,4.990000000000094,15.981666666666667,15.4896625,16.468516666666666,1.3961476143014178,16.09,-11.052666666666937,-11.86200416666699,-10.26960833333356,2.307392069181041,-11.242500000000067,0.13013283508448106,0.11237137378376713,0.1493336946231122,0.05253933435775429,0.10813070646271644,0.2682031947322887,0.21140965578525706,0.32483279920203156,0.16373849729187648,0.2705500124173563,1.4995000000000913,1.119654166666731,1.921008333333478,1.1560637361621324,1.1725000000001842,4.458012828416174,4.294812166224863,4.628192503435862,0.4932127164491288,4.348847123835344,3.3775176089853414,3.2389610698648394,3.5219507900247473,0.4182827721282123,3.3398058252427187,18.033333333333335,16.966666666666665,19.2,3.2107935782760704,17.5,356.0,345.23333333333335,366.46666666666664,30.06085781234117,353.5,0.25320399548648415,0.24947328932693286,0.2569821481931662,0.010716307326544624,0.252201215675377,1.28290382042334,1.2689558537510022,1.2957374055004007,0.038635674342418304,1.2901955409356725,6.339847327616739,6.224093019094472,6.4637170631861895,0.3432310401594524,6.327749968909339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.36514837167011066,0.0,0.2,0.0,0.6,1.0954451150103321,0.0,-2.210833333334847,-4.616187500000989,0.19223749999874154,False,0.7031666666666666,0.4871666666666667,0.9125083333333331,True,-2.9140000000015136,-5.241679166668001,-0.582070833334979,True,-19.58684561203122,-21.71309537407196,-17.372960689130018,True,-13.675781415800857,-15.633117878048818,-12.06567913107655,True,65.53333333333333,60.03333333333333,71.00083333333333,True
noise,0.02,0.9388129235876298,30,3.087499999999987,2.351058333333297,3.791887500000093,2.070587851728044,2.999999999999943,15.378166666666667,14.904925,15.854870833333333,1.3749385461711103,15.510000000000002,-12.290666666666679,-12.996529166666631,-11.587829166666701,2.047352678095671,-12.327499999999995,0.11771603019902321,0.10185487038301044,0.13555891470690523,0.04925849295236784,0.10121649672071097,0.19226294831411356,0.14497986492351592,0.24275931311281318,0.14036187134079903,0.16518869511815157,1.4213333333333518,1.0891541666666744,1.791841666666657,1.0168815864787655,1.225000000000108,3.2687789452968343,3.1900722446132814,3.3479986950338163,0.22764445917722173,3.2887547608133336,2.3897772701313538,2.3219664953359986,2.454940510184656,0.1913728070372896,2.4357509994288975,15.233333333333333,14.4,16.066666666666666,2.3879486700041754,15.0,367.53333333333336,355.3666666666667,379.1675,34.88081513336258,366.0,0.24403899575036167,0.24035407990115706,0.24753724921844755,0.010188792834295572,0.24633234564694598,1.1792749121587744,1.1690957774577224,1.1896166433264297,0.02918967884659393,1.176454310376902,6.742737459859476,6.6213769136254035,6.869966509816067,0.3566419333288693,6.651582354351475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.36514837167011066,0.0,0.8333333333333334,0.0,2.2,3.3018629363701204,0.0,-4.052333333334591,-6.46474166666743,-1.6019875000008736,True,0.09966666666666692,-0.11766666666666624,0.3030083333333335,False,-4.152000000001258,-6.457425000001081,-1.7967833333351482,True,-20.57458595088521,-22.701129354654487,-18.341495811917,True,-14.865015298920197,-16.788021996837934,-13.281573884044514,True,77.06666666666666,70.6,83.66666666666667,True
noise,0.05,0.9388129235876298,30,-0.28049999999981734,-1.15760416666663,0.5312541666668202,2.4005729739894424,0.14250000000058805,14.139166666666666,13.682316666666669,14.59233333333333,1.296499985593397,14.0775,-14.419666666666485,-15.342524999999773,-13.552804166666547,2.564114061335905,-14.212499999999856,0.1302989708099169,0.1001549664983674,0.1645754069416784,0.09347815941977636,0.10229510996195554,0.03613316598331891,-0.006763526521854921,0.08318394238481218,0.12969935692220066,0.007738019724463434,2.1498333333332997,1.558162500000015,2.807754166666644,1.7952924472810543,1.7149999999998045,2.248515433276518,2.196652838921339,2.300942562369542,0.14768999752749518,2.236470575424682,1.462592804111936,1.4210736721873218,1.5029349895297928,0.11889497240858922,1.4822958309537406,12.1,11.233333333333333,12.966666666666667,2.482351499187261,12.5,387.93333333333334,376.06583333333333,399.3,33.378635881853135,385.5,0.2322336104408757,0.2280220491500663,0.23644680036987828,0.011713551848117093,0.23213058419243987,1.0262414307543815,1.0105164285460075,1.0438412741028102,0.04702581083550666,1.014105326370982,7.161126080732123,7.02206737091894,7.301821480253298,0.3925677257847476,7.163277027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.3,0.43417248545530474,0.0,12.9,5.7325,21.500833333333336,22.984777571253545,0.0,-7.420333333334395,-9.971450000000798,-4.8051125000009085,True,-1.1393333333333335,-1.4220125000000003,-0.8571249999999997,True,-6.281000000001063,-8.826775000000975,-3.6644166666691174,True,-21.501770416904623,-23.618806396344944,-19.303079668760706,True,-15.885278810940513,-17.833113470492332,-14.275612918751795,True,97.46666666666667,91.0325,103.7675,True
noise,0.1,0.9388129235876298,30,-1.772999999999915,-2.55824166666667,-1.0487999999999693,2.1378806779386927,-1.3524999999997576,12.095833333333333,11.706495833333337,12.497191666666668,1.1343470576179218,12.05,-13.86883333333325,-14.72067916666658,-13.102329166666566,2.284180485098758,-13.269999999999904,0.1268221985806603,0.0971542000052634,0.16304657805429035,0.09247189468753506,0.09326904939049044,-0.0612667381979672,-0.08557440158201998,-0.03232847710302538,0.0764523955069108,-0.07010124284183082,2.563833333333276,1.9323124999999617,3.26651250000001,1.882490409983026,2.0150000000001,1.8231185376717207,1.774743568784063,1.8726315709019772,0.1390855359173464,1.827186901740197,1.0354844850561582,0.9856039406053683,1.084355606320198,0.14042746954185634,1.0311250713877784,10.4,9.433333333333334,11.366666666666667,2.7990146049316516,10.0,360.3666666666667,344.5991666666667,375.06666666666666,43.79929406873517,358.5,0.20405128577955478,0.19745524631648767,0.20982789887243755,0.017772423989128663,0.20899636378891098,0.9488218575536568,0.924200406718196,0.9772602546532377,0.07583929942841493,0.928556350769973,8.197340801443728,7.918075556205781,8.5168801631292,0.8495961617167221,7.9548755224689085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.06666666666666667,0.43333333333333335,0.5683207771559354,0.0,46.3,31.665000000000003,62.30083333333334,44.41353474973048,30.5,-8.912833333334493,-11.480162500001198,-6.298433333334626,True,-3.1826666666666665,-3.473833333333333,-2.890333333333334,True,-5.7301666666678255,-8.198675000001197,-3.190433333334361,True,-21.9288787359604,-24.050708166761847,-19.690350751951264,True,-16.31067570654531,-18.250039307094735,-14.712949214436746,True,69.9,56.66583333333333,82.73416666666667,True
noise,0.2,0.9388129235876298,30,-2.2531666666666923,-3.031666666666733,-1.5534875000000732,2.2014444644107694,-1.8600000000002126,9.821666666666664,9.426983333333334,10.246345833333335,1.1554864129771116,9.67,-12.074833333333356,-12.879195833333327,-11.338045833333378,2.2343700351604596,-11.71250000000021,0.12508685886720183,0.0951861956628814,0.1585437119906043,0.09244083320269737,0.09909164151872779,-0.08804441283218299,-0.10863135008481674,-0.0631969591767839,0.06696055465735765,-0.10153257548094204,2.747666666666622,2.04765416666666,3.5233916666666465,2.162417123519842,2.457499999999939,1.4978508251652136,1.4453102876088382,1.5497409134277984,0.1468472045970694,1.5079393461587927,0.6957738435179898,0.6475347420521607,0.7433214353702646,0.13703648120718934,0.6958880639634495,8.7,7.966666666666667,9.467500000000003,2.16794833886788,8.5,277.8666666666667,259.23333333333335,296.33416666666665,52.46656297000079,273.5,0.15728658344615395,0.14765723877529244,0.16688766315144937,0.02766686861678031,0.16216238308403697,1.0116372593795802,0.9588345734585201,1.067888256796661,0.15943083103645128,0.9875858369098712,11.051641657573757,10.216178478316426,11.958778477889428,2.4933288474066835,10.366543448923313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.13333333333333333,0.8333333333333334,1.0400044208570938,0.0,161.43333333333334,123.3325,203.63333333333333,116.42925433226745,113.0,-9.39300000000127,-12.0755750000014,-6.661454166667415,True,-5.456833333333334,-5.832675000000001,-5.075304166666668,True,-3.936166666667937,-6.608704166667435,-1.2390875000014725,True,-22.268589377498575,-24.383475632971635,-20.044613078241007,True,-16.63594341905182,-18.57487514238219,-15.042702374150153,True,-12.6,-29.0,3.7333333333333334,False
informed,0.0,0.5652427496657185,30,10.550833333332873,6.6018499999995095,14.268704166665739,10.736511191139881,11.634999999999422,39.50250000000001,38.16815833333334,40.76504166666667,3.6844668706190933,39.540000000000006,-28.95166666666713,-32.93022499999987,-25.20211666666763,10.962468600461099,-27.10500000000161,0.8754781851956607,0.8236968846495398,0.9300326597973163,0.15333609360206857,0.8861834732453513,0.07842283958423787,0.04939584977422851,0.10794510042226133,0.08126151154550836,0.06909367712717265,12.754833333333387,10.83431250000008,14.862887499999896,5.772258041901698,11.4450000000013,25.331821893568215,23.570589035380838,27.057441044733856,5.003356540134776,26.245182842835007,24.74854368932039,23.360522082619454,26.05750809061489,3.941217171281904,25.00399771559109,50.0,50.0,50.0,0.0,50.0,556.7333333333333,539.8666666666667,573.4675000000001,47.73918605357104,554.0,0.24619541490694438,0.24134168655900018,0.25081525574216784,0.013310980184992896,0.24721048572647397,2.0792480702884797,2.0694311411316137,2.0891661914774997,0.027527155976644728,2.080605583788981,6.513583732345984,6.366120973188392,6.673219907690706,0.42881942341315793,6.449495648236655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
informed,0.005,0.5652427496657185,30,6.122499999999949,4.279808333333139,7.733041666666793,5.0995127809868395,7.74000000000035,40.44866666666666,39.200987500000004,41.67233333333333,3.5465869784064656,39.8625,-34.326166666666715,-36.72271666666669,-32.19006250000011,6.546482957221693,-33.30249999999972,0.27612207651717213,0.245712998669615,0.31811906338667967,0.10825972215303717,0.2510999679528497,0.1563833050755709,0.11955595358650804,0.19153207146827672,0.10582859768928432,0.17263636336199878,3.4880000000001785,2.6284958333334822,4.717725000000301,3.18172843939728,2.829999999999842,4.988204649982749,4.84294979144307,5.138687966854542,0.42071734364949576,5.036141465730566,3.6779364172853604,3.5565676756139344,3.8030877593755954,0.34407079750447905,3.6536264991433467,23.9,22.466666666666665,25.533333333333335,4.261697897026165,24.0,609.6666666666666,591.6991666666667,627.1,49.432875653782254,605.0,0.23866920857967527,0.23527584132591287,0.24203196703900767,0.009709943787085892,0.23840772540813016,1.8740601610025853,1.86032443336691,1.8874729551691591,0.03912773462263384,1.8751773884273688,7.02089930160321,6.915445502907481,7.131580846295534,0.3092418663260497,7.030815972222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.9,1.6431676725154982,0.0,0.23333333333333334,0.0,0.6,0.897634182970313,0.0,-4.428333333332924,-8.21900833333258,-0.5311874999994807,True,0.9461666666666669,-0.1566916666666663,2.003875,False,-5.374499999999591,-9.034816666666417,-1.6519999999995347,True,-21.07060727203503,-22.395230344565014,-19.6739163335237,True,-20.343617243585463,-22.094700377021045,-18.566779824391556,True,52.93333333333333,38.365833333333335,67.3,True
informed,0.01,0.5652427496657185,30,1.5823333333333318,-0.2891666666664814,3.4248416666666848,5.365603210832336,1.9625000000007446,38.62283333333334,37.33718333333334,39.828029166666674,3.5820076443759605,38.837500000000006,-37.0405,-39.57102916666667,-34.58985833333328,7.228407960120486,-35.76749999999973,0.2503010666675137,0.22227206504869787,0.28045324656156023,0.08366790872344455,0.23184647912502196,0.07141635688804808,0.020633103172266184,0.12486197675253655,0.15037175471315892,0.04323982318234411,4.759833333333392,3.5892833333333702,5.999358333333382,3.514696848489516,3.6349999999997635,3.4770670116709756,3.358307161469843,3.5979498281725646,0.34262783769863003,3.504124989678763,2.392328193413287,2.3057852655625353,2.4763201979821052,0.2464954033174164,2.411764705882353,19.1,17.466666666666665,20.866666666666667,4.823434175085145,17.5,630.4333333333333,607.5658333333333,651.0008333333334,62.16423372022685,644.0,0.23585205709578033,0.2321389644108808,0.23939272320002702,0.010458345282835128,0.23583521572322294,1.7259602704410577,1.7094950169536987,1.744411060551211,0.049805022428815376,1.7239803885731488,7.230249816597951,7.108645171264058,7.366632616332415,0.36905642652846826,7.190661125345493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.26666666666666666,0.40257789993644866,0.0,4.666666666666667,2.2333333333333334,7.6,7.734086368409844,0.0,-8.968499999999542,-12.865474999999224,-4.960870833332565,True,-0.8796666666666663,-2.0365291666666665,0.25347500000000084,False,-8.088833333332875,-12.127129166666526,-3.9075541666666638,True,-22.356215495907104,-23.686644774414617,-20.954653055396914,True,-21.854754881897243,-23.608531774920827,-20.04831347944941,True,73.7,57.598333333333336,89.66666666666667,True
