env,arm,latency_ms,n,pnl_net_mean,pnl_net_ci_lo,pnl_net_ci_hi,pnl_net_std,pnl_edge_mean,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_edge_std,pnl_inventory_mean,pnl_inventory_ci_lo,pnl_inventory_ci_hi,pnl_inventory_std,sharpe_1s_mean,sharpe_1s_ci_lo,sharpe_1s_ci_hi,sharpe_1s_std,n_fills_mean,n_fills_ci_lo,n_fills_ci_hi,n_fills_std,fill_rate_orders_mean,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,fill_rate_orders_std,fill_ratio_qty_mean,fill_ratio_qty_ci_lo,fill_ratio_qty_ci_hi,fill_ratio_qty_std,adverse_cost_500ms_mean,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,adverse_cost_500ms_std,postfill_10ms_mean,postfill_10ms_ci_lo,postfill_10ms_ci_hi,postfill_10ms_std,postfill_100ms_mean,postfill_100ms_ci_lo,postfill_100ms_ci_hi,postfill_100ms_std,eff_half_spread_ticks_mean,eff_half_spread_ticks_ci_lo,eff_half_spread_ticks_ci_hi,eff_half_spread_ticks_std,inv_abs_mean_mean,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_abs_mean_std,inv_max_abs_mean,inv_max_abs_ci_lo,inv_max_abs_ci_hi,inv_max_abs_std,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,quote_lifetime_mean_s_std,quote_surv_250ms_mean,quote_surv_250ms_ci_lo,quote_surv_250ms_ci_hi,quote_surv_250ms_std,quote_to_trade_mean,quote_to_trade_ci_lo,quote_to_trade_ci_hi,quote_to_trade_std,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,max_drawdown_std,killed_mean,killed_ci_lo,killed_ci_hi,killed_std,diverged_mean,diverged_ci_lo,diverged_ci_hi,diverged_std,d0_pnl_net,d0_pnl_net_lo,d0_pnl_net_hi,d0_pnl_net_p,d0_n_fills,d0_n_fills_lo,d0_n_fills_hi,d0_n_fills_p,d0_fill_rate_orders,d0_fill_rate_orders_lo,d0_fill_rate_orders_hi,d0_fill_rate_orders_p,d0_adverse_cost_500ms,d0_adverse_cost_500ms_lo,d0_adverse_cost_500ms_hi,d0_adverse_cost_500ms_p,d0_inv_abs_mean,d0_inv_abs_mean_lo,d0_inv_abs_mean_hi,d0_inv_abs_mean_p,d0_quote_surv_250ms,d0_quote_surv_250ms_lo,d0_quote_surv_250ms_hi,d0_quote_surv_250ms_p
informed,as_gamma0.01,0.0,24,1.689374999999871,-0.589765625000139,3.7287916666665213,5.461067802995418,38.78354166666667,37.04790104166667,40.61194270833334,4.652574901662488,-37.0941666666668,-40.54445833333329,-34.13728645833347,8.423031142242731,0.06270107007526526,0.017333303722955065,0.10895136819314852,0.11700168515773207,612.1666666666666,585.0395833333333,639.625,70.6538818076739,0.23223239239408625,0.2272219457352507,0.2369276566763089,0.012447992417367989,0.18292806804238274,0.1789872504582034,0.1867267199130322,0.00993911785771567,1.63477683162161,1.5598356048984046,1.7134083769327615,0.195785694215622,-1.414230627244886,-1.5060000138699545,-1.3377517704280901,0.21844373736626754,-1.517245244629257,-1.60613146036515,-1.4433420203721052,0.20841250479306841,1.7718034851373596,1.7516685217169299,1.7915309737030558,0.050169133206099684,2.3667428136303066,2.278975704359414,2.4551690700552067,0.2293562142177503,18.208333333333332,17.125,19.458333333333332,2.9632409793078383,0.14639205996166418,0.14218090787940427,0.15062025795329928,0.010857337499131911,0.15550562127136994,0.1486399658463962,0.16257368739024175,0.01800277160356329,7.3415396253988305,7.183478401181907,7.513586721465614,0.4251758292682666,4.9154166666666885,3.6397864583333477,6.456109375000043,3.717785957735622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
informed,as_gamma0.01,1.0,24,1.4177083333331673,-0.8813906250000255,3.606083333333389,5.685053817795507,38.56854166666667,37.11104687500001,40.116880208333335,3.8735343593378664,-37.1508333333335,-40.16323958333334,-34.4977500000002,7.251838097827344,0.0698075600900982,0.022080777818016286,0.11865243203571411,0.12280617325851931,620.6666666666666,598.2916666666666,644.2927083333333,59.32787794493643,0.2323089430029969,0.22838666099061747,0.2361711407418316,0.010112948430393983,0.18251595640452076,0.17919580797076054,0.18599841454081126,0.008882838933700694,1.639072851423289,1.5345118478105222,1.753756324469894,0.2778603990960026,-1.3776162207346,-1.4515097464821998,-1.312438765550081,0.17936728817222622,-1.5224674165362064,-1.6236074989379103,-1.433706779640792,0.24613742966342633,1.765838365247913,1.745452794193471,1.7857680483774074,0.05064476013317456,2.408599847706073,2.3066765419760134,2.504666976013706,0.25710109556416777,19.291666666666668,17.75,20.792708333333337,3.917398944804272,0.14534673162847275,0.14164615668403346,0.14893414293021115,0.009139917519261364,0.153917024824799,0.14775882114199537,0.16001293372358086,0.015490888232847316,7.243818721739274,7.11448430574539,7.378656931311134,0.3471724190025063,5.086041666666687,3.590776041666738,6.795671875000043,4.063783035966105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2716666666667038,-2.8527864583332354,2.1629635416667132,0.8405,8.5,-7.502083333333332,26.416666666666668,0.323,7.655060891064806e-05,-0.003531003068684868,0.004266393653510598,0.9995,0.004296019801679142,-0.11083708018109677,0.13123291845197152,0.968,0.04185703407576618,-0.0678249333714069,0.14749428897772698,0.456,-0.0015885964465709526,-0.007493396950939841,0.0038796643634911882,0.5975
informed,as_gamma0.01,5.0,24,2.4914583333332825,0.16511979166651095,4.572916666666238,5.708374183975065,38.446666666666665,37.00098958333333,40.087953125,3.9762784836716536,-35.95520833333338,-39.26765625000001,-33.11510416666687,7.997132023849634,0.09306487323725952,0.04031068608001668,0.14282587052798654,0.13320068751588562,623.375,596.5,654.13125,74.46260368685806,0.2278011897366781,0.22397729565874785,0.2317975423955082,0.010032065756184863,0.18233144286218816,0.17907262458491427,0.1857840250473406,0.00859458981199461,1.5649168039231567,1.4815762516339812,1.6571935417757222,0.22994663413808838,-1.2538098731696323,-1.3233982551585155,-1.1949488081337967,0.1664209200019227,-1.3815668688621627,-1.4813201651905343,-1.2964820996990094,0.2400521454709141,1.7665689576116013,1.745099890631072,1.7873283846620451,0.05421982588044527,2.563963449457453,2.4654108366647627,2.659463639824862,0.2516172637073561,19.875,18.666666666666668,21.25,3.4047600949770054,0.14480035559221824,0.1404960595038742,0.14860939553897975,0.010520611083561674,0.15301406448521204,0.14570226449093102,0.1598618131341015,0.018390687773217108,7.204855203615186,7.0532713695059135,7.352828812684115,0.3839393169266735,4.769791666666659,3.4393593749999245,6.301901041666583,3.6927851157671845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8020833333334115,-2.3747968749998334,3.630427083333748,0.599,11.208333333333334,-12.251041666666666,37.91770833333334,0.377,-0.004431202657408148,-0.008551897292971157,-0.0002681555695216385,0.0425,-0.06986002769845336,-0.18485774802165925,0.05903233747879576,0.289,0.19722063582714633,0.06284385113268602,0.3336254283266704,0.005,-0.002491556786157908,-0.009792349039797987,0.004657750036150854,0.496
informed,as_gamma0.01,10.0,24,5.266041666666879,3.5599583333337916,6.825848958333338,4.173405704230122,37.526250000000005,36.12891666666667,39.03775520833334,3.710632563558285,-32.26020833333312,-34.62171874999981,-30.064145833332987,5.81870512249365,0.1450694690016745,0.09938979150848656,0.19223914245892196,0.11954957926502373,611.8333333333334,585.8322916666667,637.8760416666667,65.50318058435535,0.22528110695505058,0.22105464750994352,0.22969791228004394,0.010957132588530656,0.18270308867302618,0.17912979018127673,0.18660037274620125,0.009278152103348538,1.4343040104292177,1.3578901391826732,1.5176025490745462,0.20644310601299104,-0.8482481238998107,-0.8714849849201739,-0.824839642493923,0.05895498297737912,-1.2353247541713988,-1.2962582046543643,-1.18090622837838,0.14994215397220628,1.7757550781437461,1.754990773568098,1.7966331219437714,0.053308466814964914,2.8496335427374837,2.733008518941557,2.9736121026080333,0.30180688227346575,21.666666666666668,20.291666666666668,22.958333333333332,3.4599153880916833,0.147904432973516,0.1438405868502541,0.15201694743615388,0.010345644325481206,0.15734916243348665,0.15064094943349307,0.16447806211790683,0.017418238240652625,7.10534785954296,6.943414508293792,7.263995286001358,0.4092105846662005,3.4758333333332376,2.692880208333318,4.348760416666503,2.139845924292176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5766666666670077,1.4789375000003384,5.676093750000237,0.0005,-0.3333333333333333,-18.208333333333332,16.541666666666668,0.971,-0.006951285439035677,-0.010890515165797842,-0.0030591032092341596,0.00025,-0.2004728211923922,-0.29017583594048973,-0.10431685687507178,0.00025,0.48289072910717684,0.3415137778412335,0.6269405577765087,0.00025,0.001843541162116698,-0.002399402377750849,0.006012471522104892,0.412
informed,as_gamma0.01,25.0,24,5.439166666666737,3.969369791666535,6.877750000000096,3.737014812674183,35.759375000000006,34.34516666666667,37.221322916666665,3.7298791542669028,-30.320208333333266,-32.342781250000215,-28.36499999999999,5.000940667855017,0.13603676090883618,0.09986080189788918,0.17283717454826847,0.09452634864108665,594.3333333333334,574.2062500000001,614.8364583333334,52.65446565699047,0.21569919128959728,0.21227593483535256,0.21898228302244627,0.008831378917830889,0.18119091029012624,0.1779063578498518,0.18439991027603647,0.008520049389317396,1.3451327222672036,1.263943307070663,1.4285084637328544,0.21270424413341835,-0.8254728689629703,-0.8605326683408705,-0.7915101694267352,0.0863495531538666,-1.075150549765536,-1.1293821873643397,-1.022538872599442,0.1350752820476744,1.7697483159137324,1.7525910011414136,1.7870075047216527,0.043009109490276226,3.4140491147915477,3.2739856986483913,3.546164691604797,0.34926450485585897,23.875,22.375,25.375,3.8708778916641005,0.14953290316529042,0.1462085909741739,0.15279925867505348,0.008525983845326044,0.16061992979361242,0.15450090014571527,0.16629126747806977,0.015355299924643294,7.064429347623755,6.931211260936044,7.205221989532961,0.35605365263903266,3.3389583333332613,2.725359374999914,4.007932291666662,1.6823611637057423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7497916666668663,1.4467395833337446,5.956322916666766,0.0015,-17.833333333333332,-34.084375,-1.0822916666666629,0.0365,-0.016533201104488967,-0.02066700833121379,-0.012198764719134699,0.00025,-0.2896441093544065,-0.3800240792204247,-0.18355597117185077,0.00025,1.0473063011612413,0.8988322149248047,1.190845707214925,0.00025,0.005114308522242455,0.0003010884147514017,0.009793144843908006,0.037
informed,as_gamma0.01,50.0,24,5.1737499999999494,4.0872708333332195,6.39818749999999,2.9922102671118433,33.04479166666667,31.824572916666668,34.29606770833333,3.1666411636082126,-27.871041666666716,-29.164057291666687,-26.574562499999715,3.336351163344003,0.1269091634271825,0.09906560550360731,0.1584350265840497,0.07768045411946771,579.0416666666666,564.5822916666667,594.2083333333334,37.74108494404504,0.20639060106986037,0.20280168688859415,0.21040567060699467,0.009653817050034721,0.1768432593374031,0.17373420305269333,0.18039970344197542,0.008531722834454263,1.2017789329930393,1.1302023268011028,1.2786564878119608,0.18748649583160987,-0.8055745077902294,-0.8306241483387582,-0.7812538845104563,0.06450598381436709,-0.9455586576684869,-0.9830838995191256,-0.9083304740210697,0.09614259712744021,1.7163817288968743,1.6892041265901951,1.7432918245602178,0.06889191353669526,3.9739910527317726,3.837201361126975,4.111623715019989,0.35182855696178555,24.75,23.166666666666668,26.458333333333332,4.316298736488092,0.14751988774670885,0.14446502249188706,0.1505736088765737,0.007958425132795972,0.15183805778870893,0.14611685342163094,0.15748351496083296,0.01489204151553789,7.152336922222678,7.026375648360363,7.266851150990613,0.3089355130128265,3.16708333333361,2.7124947916669537,3.6247968750003365,1.1752991447755745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4843750000000786,1.4523437500001084,5.602718750000226,0.00025,-33.125,-53.75,-13.041666666666666,0.001,-0.025841791324225896,-0.03051475946242244,-0.021201852195666605,0.00025,-0.4329978986285708,-0.5030377006914374,-0.3702887252098067,0.00025,1.6072482391014657,1.4713740957548067,1.7537865267466204,0.00025,-0.003667563482661042,-0.007880537814366286,0.0008167923471652571,0.1075
informed,adaptive_full,0.0,24,10.892083333332932,9.02616666666614,12.756749999999768,4.909572042951238,31.34875,29.483536458333333,33.265255208333336,4.92468742111133,-20.45666666666707,-22.320223958333887,-18.66993229166669,4.618236221449017,0.17246338600445488,0.1408740289880178,0.20285533476116957,0.08285727434265883,287.4583333333333,270.99791666666664,304.375,43.28769196159942,0.2780438300341395,0.26765078937373393,0.288291945398691,0.026663985781368988,0.2305149452996349,0.22102823776623687,0.2402199970940471,0.024763248647022063,1.4610657777980702,1.3643799618166257,1.5585654487539804,0.2476272641269522,-1.0472321718528315,-1.0793605485109368,-1.0155402226715027,0.08360770905966286,-1.1578432795332658,-1.2198505135555424,-1.0943756162196823,0.16091263286933571,3.1660153292624336,3.1164579127409557,3.2151147855379705,0.12670925936435812,7.26230249381306,6.82255199409861,7.729810941366838,1.177727384222623,25.958333333333332,24.875,27.083333333333332,2.851074041200228,0.3889901608469719,0.3765259935643132,0.4014304302963936,0.031572913995701946,0.3859227993271365,0.3759808104809963,0.3956856919221797,0.025450600995528035,5.790502573177943,5.518754029296974,6.076808130569724,0.7193423424779389,4.271666666666827,3.467416666666799,5.29234375000013,2.371838246311748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
informed,adaptive_full,1.0,24,11.3802083333335,9.590744791666783,13.146583333333663,4.6725603909299105,30.893958333333334,29.033078125000003,32.89405208333333,5.058259061902508,-19.513749999999835,-21.24323437499974,-17.78889583333295,4.38703456592357,0.17771094456692652,0.14272615344801107,0.21354833326002534,0.09192737995945185,277.7083333333333,262.33229166666666,293.20937499999997,40.3198938562555,0.2587185149960244,0.24897855841756095,0.26902485486853017,0.026320262418343857,0.21331486804141567,0.20479056089647746,0.22262490315720349,0.02352419619631647,1.5076931754014904,1.3862977989771579,1.6320423100083548,0.30637136415551836,-1.10962353171416,-1.1535648924821735,-1.068867494712022,0.10883281547784024,-1.238437407175838,-1.312424573976557,-1.1660658719748223,0.18715298877429964,3.20043394757216,3.14233400876459,3.2600257594131943,0.14986448525187623,7.375499714448886,6.899287906910336,7.891064034837235,1.2632067650541339,28.041666666666668,26.75,29.416666666666668,3.4701104689428357,0.3716945377746106,0.3584952752528329,0.38393046769233913,0.03224335571076515,0.3811249247988402,0.3719305584678744,0.3902574704869617,0.02349216480496108,6.3013374487215925,6.030238172684176,6.552915141874578,0.6818400652393569,4.681041666666682,3.8833593750001096,5.5226197916668065,2.10811990169627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4881250000005668,-0.963421874999922,1.977932291667435,0.5455,-9.75,-22.50208333333333,3.375,0.141,-0.019325315038115187,-0.030356300177168945,-0.007720847520826858,0.0005,0.04662739760342011,-0.10670479056059393,0.2066461533390945,0.5625,0.11319722063582704,-0.5740362649914335,0.800859627831715,0.7685,-0.004797874528296224,-0.01374767933432697,0.0040805635461474525,0.3005
informed,adaptive_full,5.0,24,12.408958333333175,10.487692708333313,14.288505208333188,4.8524364071199715,30.430000000000007,29.183526041666667,31.738140625,3.333534486684222,-18.02104166666683,-19.58706770833315,-16.3990989583335,4.083403572672869,0.22288996128280045,0.1814342671501832,0.26536586828551656,0.10757064053811864,268.7916666666667,258.9166666666667,278.4166666666667,25.385684371599925,0.24051570150018428,0.23166991454380598,0.24835736488913182,0.021286380743879986,0.20005128731092178,0.1921130740998358,0.20709510335372633,0.01911830672096212,1.507643339811632,1.412937395931656,1.606266348162272,0.2517115085139265,-1.1594662828185534,-1.213612659240661,-1.1081564083338977,0.13461254965042987,-1.22869174383818,-1.2940259306915487,-1.1649057093265547,0.16570658208616526,3.233184178768352,3.1694932282350914,3.301086747690208,0.16478059319568175,6.717946887492862,6.3294385351227875,7.134025199885779,1.0147016875845931,23.208333333333332,22.0,24.458333333333332,3.0924756744558963,0.3563346255278745,0.3465909035059729,0.3655937629658603,0.024352387334025265,0.36645076333049836,0.35934623170670243,0.3733588558967752,0.01801296462948088,6.7599315749424465,6.5013096270616275,7.063985358284396,0.7179724664479711,3.2041666666666573,2.5914375000000742,3.881890624999971,1.6705574874395184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5168750000002416,0.10373437500069468,2.972749999999848,0.0345,-18.666666666666668,-31.334374999999998,-7.0,0.001,-0.03752812853395527,-0.04663208376932539,-0.02825268393100831,0.00025,0.04657756201356155,-0.04842399132816982,0.14558675741428886,0.354,-0.544355606320198,-0.9593809489815345,-0.14917249666857024,0.006,-0.019472035996638107,-0.02980835992564226,-0.00859965356018493,0.00025
informed,adaptive_full,10.0,24,11.641458333333034,9.524005208333131,13.798947916666355,5.4748842511423,30.372708333333332,28.7585,32.054260416666665,4.218379809308274,-18.731250000000298,-20.843343750000237,-16.622161458333647,5.422482234821608,0.20474044492194018,0.16364664526817727,0.24473883809404545,0.10497278069889049,267.8333333333333,255.16666666666666,280.75104166666665,32.63589204044165,0.22230554021440496,0.2155964732978847,0.22852451284266947,0.01692491127243243,0.18699665879003166,0.18057566263498237,0.19292903766726024,0.01609309104168916,1.5264292578354273,1.4127252461952358,1.6538718711686449,0.3063797417379916,-1.2093680141290335,-1.2657713169301434,-1.152059798694345,0.15075129935491263,-1.2818352589171982,-1.3598111119728253,-1.2004258265218073,0.20627757573027103,3.2733005058182383,3.2173243251707513,3.330604873485429,0.14860984634911878,7.015729107176852,6.588275747192081,7.477113078241005,1.164567133330723,23.833333333333332,22.75,25.0,2.853931943167511,0.33919116284079137,0.3291698432794332,0.34915977430127126,0.025106852854226886,0.35060600365467226,0.3412332348988748,0.36005935737747546,0.024147509173791513,7.138460620525332,6.9033835931359855,7.395580750151765,0.6507428112041798,3.511666666666706,2.8556250000000505,4.307734375000071,1.8413904639103036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7493750000001024,-1.137921875000207,2.8015052083333183,0.4585,-19.625,-29.125,-10.623958333333329,0.00025,-0.05573828981973456,-0.062419025241069806,-0.04892315809074471,0.00025,0.06536348003735708,-0.09292103115525112,0.2253328580292157,0.4595,-0.2465733866362078,-0.7942723205787168,0.3144780363601754,0.3805,-0.03531679567246426,-0.04547491831269736,-0.026072601564203428,0.00025
