env,group,impact,alpha,alpha_lo,alpha_hi,c,r2,bins_used,orders
noise,all,I_0,1.0278314620669862,1.0111530388452696,1.0430989866192653,0.024997725137560715,0.9990152641802135,10,105660
noise,all,I_0.1s,1.0118970935223355,0.9702637698248191,1.0464278598682772,0.02674617879651984,0.9964165810163698,10,105624
noise,all,I_1s,0.9870189146953586,0.9220507181623455,1.0334975760809482,0.031102209197326036,0.994924303857892,10,105287
noise,all,I_5s,1.0214342019918512,0.8566278362850963,1.1385744592282372,0.03010080802399566,0.9686491615394476,10,103889
noise,all,slippage,0.16570144989080518,0.16035910692844513,0.1716947940699886,0.6870820158932308,0.8163834234213454,10,105660
noise,noise,I_0,1.0278314620669862,1.0109929132513347,1.0462901814292227,0.024997725137560715,0.9990152641802135,10,105660
noise,noise,I_0.1s,1.0118970935223355,0.973497589753708,1.0504185042370457,0.02674617879651984,0.9964165810163698,10,105624
noise,noise,I_1s,0.9870189146953586,0.9173849043706788,1.0383428679463813,0.031102209197326036,0.994924303857892,10,105287
noise,noise,I_5s,1.0214342019918512,0.8710797020281784,1.1338519144995967,0.03010080802399566,0.9686491615394476,10,103889
noise,noise,slippage,0.16570144989080518,0.16024620082706698,0.17191700151959843,0.6870820158932308,0.8163834234213454,10,105660
informed,all,I_0,0.9680749215954071,0.9566507230284111,0.979124547325644,0.05000878221580083,0.996353334214393,10,158476
informed,all,I_0.1s,0.7242390150619562,0.6967483670351858,0.7521900245399432,0.10729998119743812,0.9869427271267003,10,158425
informed,all,I_1s,0.2245579177848806,0.20164636618218668,0.24642439911092054,0.5779577932674126,0.8832151831560442,10,157958
informed,all,I_5s,0.03940804205062015,0.01983867870930679,0.07318169554029089,1.365107917933822,0.30624456615213946,10,155876
informed,all,slippage,0.18733411212644696,0.18294216836985822,0.19208980010912113,1.0249945525342998,0.8616675759215925,10,158476
informed,noise,I_0,0.9685246174272357,0.9535357339471866,0.9820334936195206,0.048066247512964705,0.9958309830308444,10,104627
informed,noise,I_0.1s,0.9520201634150454,0.9159494190041828,0.9812128640038582,0.04764367852532015,0.9870292133046592,10,104591
informed,noise,I_1s,0.8360120125439581,0.6730460291518402,0.9642648322144307,0.04290753758970701,0.9650528963721715,9,104254
informed,noise,I_5s,0.5074749210093716,0.20113241631724024,1.311881750257993,0.05228915159587903,0.6064992339724378,7,102869
informed,noise,slippage,0.18254763654886857,0.17622895550797066,0.1881136313743841,1.0225693157393652,0.8511270786081141,10,104627
informed,informed,I_0,0.9680684854047736,0.9510749404177867,0.9826277629187297,0.05367396693705727,0.9957514704633474,10,53849
informed,informed,I_0.1s,0.47254949599435175,0.4386086364750451,0.5054945715040988,0.27659926848927335,0.951151754228106,10,53834
informed,informed,I_1s,0.09619448969505903,0.08271469818766444,0.11034263919269253,1.7880667337169642,0.7515470604952335,10,53704
informed,informed,I_5s,0.010456761344968452,0.00043929346517039656,0.021752464884674822,4.120298203826778,0.17193772789851547,10,53007
informed,informed,slippage,0.19858695992279687,0.19304562147756957,0.20656734171671867,1.0268947113802824,0.8768557936938517,10,53849
