env,group,impact,bin,q_lo,q_hi,n,mean_q,mean_impact,se
noise,all,I_0,0,1,2,13184,1.0,0.024271844660194174,0.0010706153196047585
noise,all,I_0,1,2,3,14500,2.0,0.04813793103448276,0.001418243163247112
noise,all,I_0,2,3,4,13468,3.0,0.07495544995544995,0.0020028019551291817
noise,all,I_0,3,4,6,21349,4.448405077521195,0.11705466298187268,0.001816836011682872
noise,all,I_0,4,6,9,18929,6.85841829996302,0.1838184795815944,0.0023928988837292565
noise,all,I_0,5,9,14,13934,10.637218314913161,0.2880723410363141,0.003742681821616604
noise,all,I_0,6,14,21,6434,16.313179981349084,0.4407056263599627,0.006523432803659812
noise,all,I_0,7,21,32,2837,24.655974621078606,0.6617906238984843,0.013076377604865883
noise,all,I_0,8,32,50,829,37.91556091676719,1.043425814234017,0.033763496671088855
noise,all,I_0,9,50,10000,196,63.454081632653065,1.4948979591836735,0.09414542775426826
noise,all,I_0.1s,0,1,2,13177,1.0,0.010207179175836686,0.005891061956062914
noise,all,I_0.1s,1,2,3,14497,2.0,0.0542526039870318,0.005856006395614883
noise,all,I_0.1s,2,3,4,13463,3.0,0.07921711357052663,0.0062826181412174815
noise,all,I_0.1s,3,4,6,21341,4.448432594536339,0.11431048217046999,0.005162036158587536
noise,all,I_0.1s,4,6,9,18925,6.858441215323646,0.1925231175693527,0.005726710977339875
noise,all,I_0.1s,5,9,14,13928,10.637421022400918,0.30119184376794944,0.007713338199753821
noise,all,I_0.1s,6,14,21,6434,16.313179981349084,0.4421044451352191,0.011709737848256874
noise,all,I_0.1s,7,21,32,2834,24.6545518701482,0.6697247706422018,0.021406489185406045
noise,all,I_0.1s,8,32,50,829,37.91556091676719,1.1326899879372738,0.05387738158365557
noise,all,I_0.1s,9,50,10000,196,63.454081632653065,1.5994897959183674,0.1279900555331499
noise,all,I_1s,0,1,2,13141,1.0,0.03523323947949167,0.016838445239304806
noise,all,I_1s,1,2,3,14437,2.0,0.04637390039481887,0.01580614704837061
noise,all,I_1s,2,3,4,13428,3.0,0.09048257372654156,0.016368616252946257
noise,all,I_1s,3,4,6,21267,4.4488174166549115,0.13405745991442142,0.013527961264353766
noise,all,I_1s,4,6,9,18860,6.857741251325557,0.2118504772004242,0.014727578526046248
noise,all,I_1s,5,9,14,13888,10.638320852534562,0.3308971774193548,0.018063990555073826
noise,all,I_1s,6,14,21,6418,16.31162355874104,0.4605796198192583,0.02610952945237465
noise,all,I_1s,7,21,32,2826,24.655343241330502,0.745930644019816,0.04428670123045187
noise,all,I_1s,8,32,50,828,37.92270531400966,1.1998792270531402,0.08965852018966206
noise,all,I_1s,9,50,10000,194,63.396907216494846,1.652061855670103,0.21660307648444566
noise,all,I_5s,0,1,2,12975,1.0,0.019421965317919076,0.03662756692187516
noise,all,I_5s,1,2,3,14223,2.0,0.05680939323630739,0.035185572700446054
noise,all,I_5s,2,3,4,13230,3.0,0.06073318216175359,0.03581952691090759
noise,all,I_5s,3,4,6,21007,4.448707573665921,0.09361165325843766,0.029488187858752235
noise,all,I_5s,4,6,9,18615,6.857587966693527,0.2521085146387322,0.03108772400320285
noise,all,I_5s,5,9,14,13699,10.63654281334404,0.33090006569822616,0.03715434963510595
noise,all,I_5s,6,14,21,6349,16.312647661048985,0.5063789573161128,0.053309140678335545
noise,all,I_5s,7,21,32,2783,24.647862019403522,0.7019403521379806,0.08652113134190369
noise,all,I_5s,8,32,50,820,37.93658536585366,1.4414634146341463,0.16776468181668688
noise,all,I_5s,9,50,10000,188,63.25,1.7819148936170213,0.3409885018651027
noise,all,slippage,0,1,2,13184,1.0,0.7556507888349514,0.0042685684989291605
