env,dt_s,k,q_bin,n_rows,p_fill,ci_lo,ci_hi
noise,0.1,all,0,36162,0.04994192799070848,0.047380298157460074,0.05262640810963745
noise,0.1,all,1-2,18791,0.06795806503113193,0.063542291052963,0.07292976766582489
noise,0.1,all,3-5,14744,0.07352143244709712,0.06830193535937373,0.08048320520116241
noise,0.1,all,6-10,17889,0.049639443233271845,0.04592180206653804,0.05297330383687036
noise,0.1,all,11-20,19490,0.02637249871729092,0.02290681903140567,0.029756316282469546
noise,0.1,all,21-40,12788,0.012042539881138568,0.010496056260133916,0.013751400848638995
noise,0.1,all,41+,3633,0.002202036884117809,0.0005448069690662669,0.0043143821478434765
noise,0.5,all,0,28655,0.17993369394521025,0.17250543024058662,0.18710787499787726
noise,0.5,all,1-2,17427,0.22287255408274517,0.21310107303319029,0.231737152446744
noise,0.5,all,3-5,14230,0.2556570625439213,0.24596383468171876,0.267726677362256
noise,0.5,all,6-10,17293,0.2353553460937952,0.227144932760799,0.24269487553684185
noise,0.5,all,11-20,19153,0.19798464992429385,0.18948658980581287,0.20648580419039075
noise,0.5,all,21-40,12693,0.14212558102891357,0.13518169236941366,0.1494617360989394
noise,0.5,all,41+,3614,0.06557830658550083,0.05796589562947596,0.07286924172492754
noise,1.0,all,0,20372,0.30566463773807184,0.2909085080731512,0.3192049702403158
noise,1.0,all,1-2,14459,0.35023168960509027,0.3355611515766181,0.3644754053310824
noise,1.0,all,3-5,13091,0.3812542968451608,0.36655302166880854,0.39463603919093826
noise,1.0,all,6-10,16075,0.3725038880248834,0.36022483908236347,0.3859417084318091
noise,1.0,all,11-20,18406,0.35439530587851786,0.3423933909431751,0.36700356590238853
noise,1.0,all,21-40,12466,0.31718273704476174,0.30265046882335683,0.3334260403235819
noise,1.0,all,41+,3573,0.24237335572348168,0.22330121472033404,0.26351517671288693
noise,2.0,all,0,7293,0.5318798848210613,0.5056891869486274,0.5558775972882417
noise,2.0,all,1-2,6851,0.5752444898554956,0.5592658234382275,0.5939255607139695
noise,2.0,all,3-5,8121,0.5713582071173501,0.5532787926625027,0.5866142997307808
noise,2.0,all,6-10,10875,0.5611034482758621,0.5454215629656554,0.5767491891366974
noise,2.0,all,11-20,14295,0.5412381951731374,0.5236871871868382,0.5593697229348478
noise,2.0,all,21-40,10761,0.5321996097017005,0.5167516564871091,0.5468866303764296
noise,2.0,all,41+,3244,0.48921085080147964,0.46235460889969404,0.517591890964228
noise,0.5,d0,0,1357,0.8975681650700074,0.8816486697094511,0.9144434989551643
noise,0.5,d0,1-2,1638,0.86996336996337,0.8575572152412136,0.8852731193601742
noise,0.5,d0,3-5,2043,0.8188937836514929,0.8024941510097731,0.8361730834404394
noise,0.5,d0,6-10,2615,0.752963671128107,0.7323205691013911,0.7767376355673156
noise,0.5,d0,11-20,3093,0.601681215648238,0.5771973445027672,0.6204736595829888
noise,0.5,d0,21-40,2249,0.40595820364606494,0.3871661970014625,0.42668685436073533
noise,0.5,d0,41+,702,0.1752136752136752,0.1463970959418908,0.20173711088172974
noise,1.0,d0,0,1291,0.9419054996127033,0.9278177573064097,0.9550120450230282
noise,1.0,d0,1-2,1605,0.9327102803738317,0.9191781824309941,0.9449802038000827
noise,1.0,d0,3-5,2017,0.9067922657411998,0.8940730020321304,0.9194542689405237
noise,1.0,d0,6-10,2590,0.8888030888030888,0.8714331411488748,0.9038807117189106
noise,1.0,d0,11-20,3070,0.8361563517915309,0.8212315852923058,0.8521601980237271
noise,1.0,d0,21-40,2243,0.7249219794917521,0.7078829772378159,0.7434920054200542
noise,1.0,d0,41+,702,0.5170940170940171,0.46421771635295467,0.5718577919127669
noise,0.5,d1,0,6496,0.3679187192118227,0.352273468855462,0.3836220264369077
noise,0.5,d1,1-2,4464,0.362679211469534,0.34402758915852305,0.3825648911503661
noise,0.5,d1,3-5,4031,0.33143140659885884,0.30705438645572336,0.35338318274873415
noise,0.5,d1,6-10,4948,0.28678253839935325,0.270757016524263,0.30324684696973414
noise,0.5,d1,11-20,6330,0.21642969984202212,0.20111612339577897,0.22942417646586374
noise,0.5,d1,21-40,4617,0.14858132986787959,0.13472871365260217,0.16284353511945943
noise,0.5,d1,41+,1408,0.0625,0.04732670429491137,0.08063562494911236
noise,1.0,d1,0,5046,0.5499405469678954,0.5300489605786837,0.5699740716278754
noise,1.0,d1,1-2,3913,0.5461282903143369,0.5220887031426938,0.5685709422908879
noise,1.0,d1,3-5,3801,0.5130228887134964,0.48951331845368246,0.5368761185486505
noise,1.0,d1,6-10,4689,0.4851780763489017,0.4642131030799359,0.5068876472823637
noise,1.0,d1,11-20,6153,0.4282463838777832,0.40642832752105384,0.44823299095898816
noise,1.0,d1,21-40,4577,0.3648678173476076,0.3405309524601037,0.3870882794887452
noise,1.0,d1,41+,1394,0.26040172166427544,0.2301430890548813,0.28637725606316977
noise,0.5,d2+,0,20802,0.0744159215460052,0.06871597057749702,0.07939270831024728
noise,0.5,d2+,1-2,11325,0.07417218543046358,0.0674417282106398,0.0797979998177279
noise,0.5,d2+,3-5,8156,0.07712113781265326,0.06887424688478973,0.08489477958525067
noise,0.5,d2+,6-10,9730,0.07009249743062693,0.06295096369255045,0.07662490712051534
noise,0.5,d2+,11-20,9730,0.05765673175745118,0.05244934083593665,0.06303732910691749
noise,0.5,d2+,21-40,5827,0.035181053715462506,0.029551194628005855,0.0400724566350501
noise,0.5,d2+,41+,1504,0.017287234042553192,0.010333443158364404,0.026483326825263324
noise,1.0,d2+,0,14035,0.1593159957249733,0.14851527398366027,0.17120517226849954
noise,1.0,d2+,1-2,8941,0.15993736718487864,0.14995512797386618,0.1733996821607445
noise,1.0,d2+,3-5,7273,0.16664375085934277,0.1525946713679222,0.18255095798898632
noise,1.0,d2+,6-10,8796,0.1604138244656662,0.14449086590680774,0.18017593087466305
noise,1.0,d2+,11-20,9183,0.1438527714254601,0.1347195013114236,0.15436726566214262
noise,1.0,d2+,21-40,5646,0.11654268508678711,0.10292061047348719,0.12933987212119416
noise,1.0,d2+,41+,1477,0.0947867298578199,0.07712087858595475,0.11798416219759718
informed,0.1,all,0,34344,0.06181574656417424,0.059071655667292076,0.0642455740017655
informed,0.1,all,1-2,13428,0.0906315162347334,0.08594065075704277,0.09594428308029819
informed,0.1,all,3-5,10774,0.10284017078151104,0.09713665214134401,0.10836456849106706
informed,0.1,all,6-10,12599,0.07349789665846496,0.06668471631925593,0.07870810498850007
informed,0.1,all,11-20,11849,0.04236644442568993,0.03815270499144748,0.04804524422142241
informed,0.1,all,21-40,6931,0.02005482614341365,0.01701188966845246,0.023525298637867842
informed,0.1,all,41+,1782,0.005050505050505051,0.002225839361899462,0.008605875125800981
informed,0.5,all,0,28857,0.21571888969747374,0.20969579449091016,0.22160120160656374
informed,0.5,all,1-2,12647,0.27555942120661026,0.2639384856202966,0.2876921087453995
informed,0.5,all,3-5,10489,0.3259605300791305,0.3143748025547237,0.33854907596455347
informed,0.5,all,6-10,12298,0.29378760774109614,0.2806864571043224,0.3067740273617542
informed,0.5,all,11-20,11696,0.26393638850889195,0.24896238982890834,0.2783528470921683
informed,0.5,all,21-40,6881,0.21523034442668218,0.201614358387442,0.22895498856025395
