env,feature,coef_per_sd,ci_lo,ci_hi,sd,mean
noise,log1p_Q,-0.23087233530070647,-0.25677781066142674,-0.20649941693165588,1.2252668712500623,1.7734207180674946
noise,d_touch,-2.144277428302321,-2.2019013442851545,-2.089996046499737,1.5155589435763048,1.897279616423884
noise,spread,-0.2908012474045941,-0.31609307162295425,-0.2688864476779559,0.772885947212057,1.3742000365697569
noise,log1p_depth5,-0.3524389322723013,-0.4047356375649546,-0.3125686406494369,0.4106535791660462,4.48875546815511
noise,abs_ret1s,0.10375401959338829,0.08060354993652716,0.14372607027577705,1.2096693216052279,1.0118546961662704
noise,signed_ret1s,0.11083924205154481,0.06059922880478402,0.14277878583813491,1.5407893789435931,0.33633002173868876
noise,log1p_flow1s,0.04179534621585283,-0.005716128518107186,0.09452364236774233,0.37716790741422573,4.446887851899905
noise,signed_obi,-0.3317316306955225,-0.361360592228506,-0.3056554183308655,0.5211990426336477,0.0057795532402674
informed,log1p_Q,-0.10416750337531408,-0.12709981743326362,-0.08765169327160784,1.229177154843995,1.4871063125552715
informed,d_touch,-1.721091765659726,-1.7851786902304003,-1.633418811248828,2.6663767230479323,2.8751037011266627
informed,spread,-0.1816298261402286,-0.20527754135368315,-0.1539609222623072,1.4341565235255194,1.9278775390050045
informed,log1p_depth5,-0.41193788057440284,-0.4476315783085708,-0.37840849657665876,0.4721262959277555,4.246791556919535
informed,abs_ret1s,0.12966709157869027,0.09068801297368843,0.17293275930240504,2.309259585591868,2.1436427864158216
informed,signed_ret1s,0.08992489259931281,0.06476090808599182,0.11448505994249825,3.00490515923621,0.9478550592769021
informed,log1p_flow1s,-0.008701959899557543,-0.041656822730399126,0.023826937205423955,0.3181467709337982,4.853588408124137
informed,signed_obi,-0.15015790735522694,-0.16709920267420073,-0.1308321442249177,0.5354974240510939,0.016883971900883397
