env,k,q0_lo,q0_hi,metric,mean,ci_lo,ci_hi,sessions,fills
noise,0,0,0,E,nan,nan,nan,0,0
noise,0,0,0,M,nan,nan,nan,0,0
noise,0,0,0,R,nan,nan,nan,0,0
noise,0,1,5,E,0.8864725732812969,0.8514280763894577,0.9239836388531371,24,1474
noise,0,1,5,M,-0.4998067808616368,-0.5922403536326232,-0.4167221614728136,24,1474
noise,0,1,5,R,0.3864863837304608,0.2963156884137191,0.4711659787716544,24,1474
noise,0,6,15,E,0.8542833505935016,0.823586195832022,0.8853769846732412,24,2143
noise,0,6,15,M,-0.38729153965095015,-0.4300685125952386,-0.3460030097881897,24,2143
noise,0,6,15,R,0.4674333676413016,0.40620907049011434,0.5262358815175744,24,2143
noise,0,16,inf,E,0.8923583619145307,0.8615123466433492,0.9231449074163335,24,2914
noise,0,16,inf,M,-0.3237287613970623,-0.37004134830067437,-0.2795486320089601,24,2914
noise,0,16,inf,R,0.5692280369536848,0.5157177646965277,0.620540730488304,24,2914
noise,1,0,0,E,1.9460951085951086,1.8353491199194327,2.0865752939190436,24,234
noise,1,0,0,M,-0.7468030522718023,-1.051943562080281,-0.4418310617334056,24,234
noise,1,0,0,R,1.1917523737836238,0.8423704030344655,1.5731411022426645,24,234
noise,1,1,5,E,1.64351955464899,1.579169597428925,1.7081610833244196,24,648
noise,1,1,5,M,-0.6984933043298392,-0.8343172772076679,-0.5596731536209258,24,648
noise,1,1,5,R,0.9456009629628289,0.7930989607388673,1.105706781391695,24,648
noise,1,6,15,E,1.509714008969463,1.4615030851324005,1.5548232345123458,24,1406
noise,1,6,15,M,-0.6201416194209967,-0.7264158221836653,-0.5189981217835844,24,1406
noise,1,6,15,R,0.8899183064239885,0.7938006937920884,0.9877969815052077,24,1406
noise,1,16,inf,E,1.3692615057927358,1.3399934141300662,1.3950967970387453,24,2778
noise,1,16,inf,M,-0.4649019586231251,-0.5203679174102228,-0.4101326017760348,24,2778
noise,1,16,inf,R,0.9051278923930424,0.8532296697606213,0.9596117523091237,24,2778
noise,2,0,0,E,2.4285637224975463,2.237145057675848,2.6390934342244083,24,226
noise,2,0,0,M,-1.3480358183483183,-1.6720120576761202,-1.04510973979724,24,226
noise,2,0,0,R,1.0805279041492275,0.7354887183724501,1.4020272004003622,24,226
noise,2,1,5,E,2.149853189370733,2.0531404228214765,2.2448581304428723,24,563
noise,2,1,5,M,-0.9000076304742063,-1.0271879259127727,-0.7674139504008209,24,563
noise,2,1,5,R,1.2498455588965267,1.0825166595177749,1.4134713201826405,24,563
noise,2,6,15,E,1.9077943073435868,1.8586779190248506,1.955646606403286,24,1069
noise,2,6,15,M,-0.8828495926278798,-1.046746995423307,-0.7531128424074048,24,1069
noise,2,6,15,R,1.0258100993310915,0.870884599804339,1.1577216380402493,24,1069
noise,2,16,inf,E,1.6970995752533131,1.6434059111656263,1.7430087716132572,24,1575
noise,2,16,inf,M,-0.7147093967420011,-0.844207069644103,-0.5952772090174036,24,1575
noise,2,16,inf,R,0.9826186141838268,0.856401222257606,1.1044872252926246,24,1575
informed,0,0,0,E,nan,nan,nan,0,0
informed,0,0,0,M,nan,nan,nan,0,0
informed,0,0,0,R,nan,nan,nan,0,0
informed,0,1,5,E,1.429708322466135,1.3747139185280004,1.4837337282747556,24,2058
informed,0,1,5,M,-0.817405301947325,-0.9428161934147008,-0.7022899946856961,24,2058
informed,0,1,5,R,0.6127531233994684,0.4631447473745281,0.7497948945982471,24,2058
informed,0,6,15,E,1.3470610692392941,1.2709469337247532,1.4338556880450204,24,2406
informed,0,6,15,M,-0.6724342313615419,-0.7389548701398626,-0.6024143720096902,24,2406
informed,0,6,15,R,0.6745450239278313,0.580492987688301,0.766196163330479,24,2406
informed,0,16,inf,E,1.311946469013412,1.262289945944132,1.3600923336950932,24,1926
informed,0,16,inf,M,-0.6457107143371056,-0.7655317018579395,-0.5312943091620733,24,1926
informed,0,16,inf,R,0.6677986892540307,0.5304614411512398,0.7939707411935091,24,1926
informed,1,0,0,E,2.7065244245250013,2.574917833712188,2.8380568663143864,24,799
informed,1,0,0,M,-1.2944937139907593,-1.5411676573129074,-1.0816705627111545,24,799
informed,1,0,0,R,1.4149068153840307,1.1727323571880721,1.6331056954330485,24,799
informed,1,1,5,E,2.2610321422751185,2.155681845956594,2.370620304858069,24,1182
informed,1,1,5,M,-1.0401747246288033,-1.259902222654203,-0.8169978504975559,24,1182
informed,1,1,5,R,1.223104930561967,1.0082234009986972,1.4358863530989163,24,1182
informed,1,6,15,E,1.9767588558217926,1.8932990442609334,2.068900468704936,24,1716
informed,1,6,15,M,-0.8633956731896122,-0.9668290553005817,-0.7705730684676463,24,1716
informed,1,6,15,R,1.1141428306157755,0.9839432324754309,1.2463163467217013,24,1716
informed,1,16,inf,E,1.7933115414945637,1.7393185530223778,1.8408322903563872,24,1952
informed,1,16,inf,M,-0.8645590934697535,-0.9858540182345604,-0.7446618857896978,24,1952
informed,1,16,inf,R,0.930626792844687,0.7870611621771683,1.071822564602472,24,1952
informed,2,0,0,E,3.1554005150222983,3.0185151831865844,3.295305031105746,24,871
informed,2,0,0,M,-1.519564141509959,-1.7506206923422358,-1.289964640038033,24,871
informed,2,0,0,R,1.6358363735123393,1.350060226084694,1.9490080478877063,24,871
informed,2,1,5,E,2.671588322020559,2.56453546897171,2.7796561408474223,24,1040
