impact,size_btc_lo,n_orders,mean_size_btc,mean_impact_ticks,se
I_0,0.0,303,4.3997326732673265e-05,2.1930693069306932,0.3891025487537464
I_0,0.0001,254,0.00017749185039370077,2.62007874015748,0.752994184423807
I_0,0.0003,403,0.0005387408933002481,6.8399503722084365,0.7589034065529873
I_0,0.001,404,0.0016382174009900992,8.490099009900991,0.6787301147330016
I_0,0.003,150,0.005534755466666667,3.53,0.7574259039668501
I_0,0.01,122,0.01779464,6.55327868852459,1.1583334322492664
I_0,0.03,85,0.05757575882352941,9.011764705882353,1.7467909572938642
I_0,0.1,89,0.17473394505617976,6.617977528089888,1.5316387753674812
I_0,0.3,160,0.4424676593125,1.203125,0.38599245243896124
I_0,1.0,18,2.988593413888889,10.722222222222221,3.2110011087997625
I_1s,0.0,303,4.3997326732673265e-05,8.333333333333334,2.198270863800496
I_1s,0.0001,254,0.00017749185039370077,6.854330708661418,2.361883541931979
I_1s,0.0003,403,0.0005387408933002481,21.156327543424318,2.325587848952796
I_1s,0.001,404,0.0016382174009900992,21.724009900990097,2.0617140012566963
I_1s,0.003,150,0.005534755466666667,12.746666666666666,4.228894645876855
I_1s,0.01,122,0.01779464,31.28688524590164,4.866899198477665
I_1s,0.03,85,0.05757575882352941,27.141176470588235,5.874604377548604
I_1s,0.1,89,0.17473394505617976,23.859550561797754,6.230891702672324
I_1s,0.3,160,0.4424676593125,38.228125,7.580945798300984
I_1s,1.0,18,2.988593413888889,104.47222222222223,35.124634179858184
I_5s,0.0,303,4.3997326732673265e-05,10.731023102310232,3.855674499046226
I_5s,0.0001,254,0.00017749185039370077,12.669291338582678,5.049471943842906
I_5s,0.0003,403,0.0005387408933002481,31.10421836228288,3.6871262595340686
I_5s,0.001,404,0.0016382174009900992,24.448019801980198,3.3355096128791275
I_5s,0.003,150,0.005534755466666667,10.25,6.46907644103855
I_5s,0.01,122,0.01779464,32.30327868852459,6.33172066307906
I_5s,0.03,85,0.05757575882352941,27.688235294117646,9.462137173712836
I_5s,0.1,89,0.17473394505617976,27.98876404494382,9.096374740828526
I_5s,0.3,160,0.4424676593125,84.446875,11.253316001637687
I_5s,1.0,18,2.988593413888889,190.52777777777777,52.700930489100564
