metric,mean_ticks,ci_lo,ci_hi
E_mean,3.4897312216422267,2.149156394808213,5.067526589754224
E_median,0.5,0.5,0.5
E_qtyw,5.532726256432771,3.3265373923803763,8.252270919180138
M_100ms,-17.35435972699167,-21.885180031042026,-13.418103088328168
M_500ms,-25.189483692392898,-35.443550987709294,-17.279206689733407
M_1s,-27.077094090177866,-37.879262862642534,-18.736206693246647
M_5s,-37.19491853184297,-58.09154901354584,-21.337592517703197
M_10s,-45.41461847689403,-66.54030819011756,-26.14589625073132
Mmed_100ms,-3.8181818181818183,-8.454545454545455,-0.5431818181818099
Mmed_500ms,-5.75,-11.297727272727272,-1.75
Mmed_1s,-6.409090909090909,-12.227272727272727,-2.1818181818181817
Mmed_5s,-16.59090909090909,-27.72840909090909,-7.2715909090909046
Mmed_10s,-29.863636363636363,-46.092045454545456,-14.680681818181814
Mqtyw_100ms,-12.39719675751486,-18.341825002125546,-7.120264337781694
Mqtyw_500ms,-24.224905409274996,-50.3631319911067,-8.381471005640744
Mqtyw_1s,-25.537283473179592,-52.43547574530334,-9.142106356040028
Mqtyw_5s,-41.47949657813178,-92.44538519131505,-9.301453963429417
Mqtyw_10s,-39.046119672414754,-93.8603185946156,1.2698506544156292
null_100ms,-0.002472727272727272,-0.029055,0.028393181818181828
null_500ms,-0.006345454545454549,-0.07665522727272728,0.06776045454545457
null_1s,0.04634545454545455,-0.09409500000000001,0.20635045454545456
null_5s,-0.15964545454545453,-0.4785931818181819,0.19610590909090936
null_10s,-0.3135272727272727,-1.130609090909091,0.4400372727272729
