beta_obi_x,c_latency,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,0.0,12,8.022500000000303,8.390000000000242,2.469538510440141,6.778520833333703,9.487427083333927,17.712500000000002,17.130000000000003,2.9037393603295856,16.265708333333336,19.423906249999998,-9.689999999999698,-10.027500000000177,1.6525558717003115,-10.584927083333143,-8.826291666666613,0.22297160760161897,0.20637505384512073,0.08049804027109973,0.18240666195845961,0.2696880635126972,2.7795833333333584,2.3625000000000114,1.4358058528120616,2.014145833333287,3.5821041666666242,0.2565378931235372,0.25287162162162163,0.03618949369169079,0.23722850175876933,0.27572773618163016,1.3819337057798584,1.453113132186166,0.35843476413692266,1.185191600793376,1.5712288023958405,183.41666666666666,178.0,30.278880528523608,168.4125,201.0,7.403779322328412,7.481320590790617,1.3730357249659175,6.633635606718796,8.184975021720243,24.0,24.0,3.2752515517548764,22.25,25.75,0.3253419574406981,0.3476300234024676,0.0630867751252086,0.28990993523924047,0.3583899865681248,0.3828710061802479,0.3846149381395143,0.03389392112714683,0.3643458924270272,0.40095938383239743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,12,8.02333333333305,7.702499999999304,2.9522744185497403,6.521999999999736,9.591802083332974,19.4325,18.8,2.8388373900723387,17.9965,20.967166666666667,-11.409166666666954,-10.92250000000026,2.4287256603685856,-12.781364583333628,-10.106312500000211,0.22289375754403032,0.21713686947468613,0.08511593595452038,0.18104219066337637,0.2670213477427309,2.812916666666529,2.744999999999777,1.2012710282584491,2.1478854166665893,3.4310312499998026,0.24078747633122155,0.24120534866690174,0.02274054529221838,0.22934334440397486,0.253645483446007,1.373531282425138,1.3586434451669365,0.24452189346006556,1.2475965441125358,1.501668503922101,186.33333333333334,189.5,20.685231153622333,175.24583333333334,197.66666666666666,6.3857515204170285,6.308427454387489,0.7868541396815479,5.973682305241819,6.809790399652475,22.916666666666668,22.5,2.7122058561364044,21.583333333333332,24.5,0.3191679192970028,0.3179498948339057,0.05900007330157262,0.2880583954301477,0.3545486970742646,0.34724802560506557,0.3416034028630604,0.026448197122764926,0.3328028479784206,0.3610067757167761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,12,8.384166666666898,9.84750000000058,3.7820315808818883,6.274489583333339,10.405895833333577,19.442083333333333,18.5375,3.5963911572659346,17.675239583333337,21.451895833333335,-11.057916666666436,-10.857499999999733,4.190140732250428,-13.360677083333158,-8.801572916666174,0.2415452277489438,0.26466124867476803,0.1371038206594424,0.16789146157392232,0.32204430972219605,2.8933333333332505,2.877499999999941,1.5814468825807464,2.0407604166665827,3.7252083333332715,0.22977540162728802,0.2334958344003002,0.015650464152477662,0.22112512829337475,0.2380799270388154,1.411109141339791,1.3977209145282656,0.28222605796899775,1.2543508933428242,1.5507371395911675,180.16666666666666,175.0,22.30300971672304,168.91458333333333,192.66875,6.826744859542427,6.779322328410078,1.2806806506527322,6.061064653924124,7.4958441934549676,22.25,23.0,4.070403151799809,19.916666666666668,24.333333333333332,0.3334414149507175,0.329939756515575,0.08301066073420472,0.28880302567649985,0.3791981610769383,0.3416935155375221,0.34525390871219963,0.032585963494805706,0.32297927063306725,0.3586190943057241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,12,8.83083333333306,8.812499999999716,3.092073321291426,7.180739583333024,10.421927083333129,17.860833333333336,16.384999999999998,4.082592666283018,15.733427083333334,20.07016666666667,-9.030000000000273,-8.097500000000187,3.275232816152015,-10.880968750000068,-7.298375000000376,0.24021867947542286,0.22989476555762628,0.09166518970246054,0.1923719148684684,0.28915918130416546,2.7954166666666596,2.937499999999865,1.2440009835083559,2.114749999999975,3.507499999999911,0.18766407761517467,0.17764431517314025,0.024573929095696445,0.17502373916096864,0.1997736359164578,1.4411971223494149,1.3779794955981524,0.37313051671678116,1.2453156005268822,1.6492911371263306,149.91666666666666,134.0,33.085174744570836,133.32500000000002,168.00208333333333,6.59383145091225,6.502172024326672,1.267760500221886,5.894397987257459,7.30306436432088,22.666666666666668,23.0,3.6265017787828464,20.5,24.583333333333332,0.3248323207899282,0.3165414697087208,0.05866244646591151,0.29482750648466693,0.3586628042464454,0.33060496875485623,0.3363538347824143,0.03123168065078683,0.3132183275412422,0.34714250834066995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,12,8.037916666666783,8.490000000000123,4.635731999829036,5.573177083333524,10.643104166666609,20.035833333333333,19.2,3.158775534726689,18.56061458333334,22.026041666666668,-11.99791666666655,-13.47249999999984,4.096919828765473,-14.165781249999759,-9.828020833333106,0.20940886535173578,0.21829614433711103,0.1280696791596355,0.13906248070794427,0.2753372109751307,3.147083333333446,3.009999999999877,1.4428561610622133,2.3891458333335014,3.928364583333454,0.27261326991962065,0.2796422051244153,0.035335978224145886,0.2531815206522196,0.29087776825974765,1.3853773755697096,1.3261437908496734,0.44009180928987124,1.139451827257469,1.6011335211451831,199.58333333333334,199.0,33.222277118970894,181.99791666666667,219.0875,7.413408630176659,7.260642919200695,0.8275590514719795,6.9504887054735,7.864999637995946,23.416666666666668,23.0,3.502163833282434,21.583333333333332,25.416666666666668,0.3538972110301514,0.35812307431402723,0.060609587204188964,0.31957433454642836,0.3846618983538107,0.37760591586153036,0.37363577120729685,0.030552737529978294,0.360551378510948,0.39479474106064966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,12,8.034999999999977,7.272499999999781,3.272715025229774,6.301062499999799,10.033958333333295,19.27666666666667,18.770000000000003,2.875697807278762,17.90548958333334,20.845989583333335,-11.241666666666688,-10.94500000000006,4.455604914208234,-13.737177083332957,-8.917802083333187,0.24039061231297223,0.25140523204061205,0.12304895178105407,0.17588031744991967,0.314429634464665,2.7470833333333124,2.2724999999999227,1.6432374618602295,1.9606770833332194,3.716666666666702,0.2449190074791585,0.23755970536818005,0.018768492944686917,0.2350891619710532,0.2552154245526493,1.416093573000966,1.3445910720104268,0.3002887760982396,1.2585787326861542,1.5746106364215477,188.41666666666666,189.5,23.971416059106478,175.99583333333334,201.83541666666667,6.403417318273964,6.259339704604692,1.0865515339115548,5.871045105705184,7.059191282942369,22.666666666666668,23.0,3.3933982252531925,20.916666666666668,24.50208333333333,0.31735414028377235,0.2788496172740466,0.08397901962721167,0.27757126459469594,0.3660604765382342,0.35684373243397705,0.351506744806926,0.029519981251492806,0.3413720462787722,0.373862416817466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,12,7.627916666666789,7.8849999999997635,3.7096241284318827,5.526041666666668,9.461166666666973,17.22666666666667,16.942500000000003,3.2780297112562593,15.644854166666669,19.076166666666666,-9.598749999999876,-8.124999999999918,3.947513098026556,-11.906312500000091,-7.76232291666657,0.2329503545413872,0.2728785963265089,0.10115457720671608,0.17152989959339582,0.28058878976875434,2.4749999999998664,2.4499999999996476,0.9928814815292567,1.9928645833331717,3.013812499999921,0.21398451947645716,0.21845861948157747,0.02044383191470521,0.2031623111171066,0.22356481574765585,1.4489918878025787,1.4646269200107966,0.178964484473817,1.3568195871067048,1.5473411550206249,157.25,159.0,23.460314653396352,144.83333333333334,169.75,6.449753837242977,6.323197219808862,0.9426634956984031,5.932723356501592,6.97340718216044,23.083333333333332,23.5,4.337119558025357,20.666666666666668,25.416666666666668,0.2873849797770472,0.2881340774828989,0.04932513020768901,0.26210492258558993,0.3154628599987773,0.35790437803891856,0.3707221580753105,0.028380078144846,0.34156054051421336,0.37265016644331433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2.0,12,7.390416666666487,7.290000000000248,3.516398246613881,5.485885416666447,9.328072916666589,17.148333333333333,16.1875,3.634559078756279,15.328114583333333,19.01769791666667,-9.757916666666846,-9.940000000000364,3.577817680662434,-11.73982291666674,-7.891979166666896,0.2229342450098825,0.18029740276684347,0.13445291954466146,0.1529761075579743,0.3021807644718927,2.924583333333293,2.6849999999998033,1.5489842101626428,2.147739583333334,3.813479166666581,0.19403625467367605,0.19688687232703037,0.021718851764705418,0.1825032527425309,0.2059473956914774,1.4454640530533789,1.3880814354727398,0.41519516665129685,1.223681073498566,1.6801963789934538,146.08333333333334,143.0,25.11956258063472,133.16458333333333,159.50208333333333,6.857370402548509,6.935273675065161,1.2981594203031959,6.1303105994787135,7.574002678830004,21.75,21.5,3.9571569224748857,19.666666666666668,24.0,0.30952987944586047,0.31830588139847593,0.05980243267412759,0.276765192693059,0.3434994527481422,0.349298037735202,0.3595815864445739,0.029651833953910963,0.3326282111367128,0.36428169723297127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,12,7.727083333333183,7.952499999999787,4.480243225100794,5.127708333333083,10.065135416666575,19.577916666666667,19.1625,3.7190941335548935,17.706645833333333,21.458104166666665,-11.850833333333485,-11.474999999999945,3.695604165967526,-14.009260416666859,-9.86556250000015,0.19828783035849037,0.16745972176377458,0.12549315149790008,0.12920036340816926,0.2685536264221084,3.7995833333335063,2.867500000000291,2.4298853866849885,2.6289479166667573,5.223229166667039,0.2645641125997632,0.26765874460871186,0.018465770905867145,0.25470761683065135,0.2741389525339817,1.331921784138525,1.2682198791409078,0.3431863794955536,1.149145108413926,1.5190691480724088,195.08333333333334,196.0,27.858272260377763,180.74791666666667,209.25208333333333,7.2710686359687235,7.622936576889661,1.372882479045038,6.50717673037938,7.9762742542716465,24.75,25.5,2.454124543035107,23.416666666666668,25.916666666666668,0.36048597319812714,0.4043732459792643,0.06306860027489752,0.32748315139064366,0.3898505266737965,0.376335696026425,0.371556757806068,0.02943632369681584,0.3614636250509163,0.3914225818044702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,12,5.669999999999756,7.027499999999293,3.1350917051974987,3.9410833333332955,7.2520208333329625,17.819999999999997,16.6025,3.2471532987302196,16.119958333333333,19.691333333333333,-12.150000000000245,-11.364999999999945,3.0570068546034563,-13.82186458333346,-10.514062500000273,0.15187018198837315,0.18489810389417757,0.08943426398817195,0.10391391152846248,0.19470462707814065,4.024583333333401,3.6600000000005366,1.7721179654111456,3.0875416666668345,5.014208333333455,0.23648377820321245,0.23105088194584106,0.028684569378349598,0.22072869258692054,0.252376725351084,1.336697491629894,1.3817436420644005,0.3887945837507606,1.1341622995805525,1.5543335176004236,175.08333333333334,169.0,27.681494748570778,160.6625,191.42083333333332,7.008977700550246,6.651607298001737,1.124301763325452,6.4493683029249915,7.6463528091514625,23.166666666666668,24.5,3.9962103260085007,20.833333333333332,25.333333333333332,0.3424528220764529,0.34504593485581025,0.05929471529689949,0.31241319340982027,0.377504395781193,0.368563195408391,0.36751247269640486,0.02887796644501205,0.3542015071178421,0.3840265471995782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
