gamma,quote_size,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,1,12,5.165416666665446,5.785000000000423,2.4065813723030822,3.879927083331998,6.457322916665344,8.126666666666667,8.055,0.8343841859101655,7.690781250000001,8.583041666666668,-2.9612500000012223,-2.3574999999984447,2.6949971538189748,-4.449562500001349,-1.5870208333345162,0.1606066233654947,0.14404397080271142,0.12687626651117667,0.09524405642713135,0.2290695012890535,4.079583333333507,2.939999999999884,3.1307430561028244,2.538833333333617,5.902375000000443,0.26273336568151073,0.2608364492452569,0.013736864082905417,0.2554876818171342,0.2695406307246291,1.101613192656978,1.1283962823808582,0.13284282589936416,1.0240592262571517,1.1651083667687758,390.1666666666667,388.0,39.52406248289155,369.1666666666667,412.0895833333333,10.993990732696206,10.317984361424848,5.749620634391307,8.227369316536345,14.269664060237474,26.0,25.5,10.795622008270508,20.75,32.333333333333336,0.40397027948067943,0.33643375372846973,0.22818871990564188,0.293183329290807,0.5376655343608437,0.15417772135381272,0.15436362414588317,0.008792942814503706,0.14939329782911231,0.15913461417189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,12,6.933749999998864,7.757500000001073,3.342393076415593,5.194812499999296,8.667291666664722,14.535833333333334,14.685,1.7908439266717155,13.546958333333334,15.486416666666667,-7.60208333333447,-8.989999999998927,3.4543335486239815,-9.241875000001965,-5.9242083333341125,0.11979513421276111,0.09236344040472882,0.09103812993227749,0.07444457198243477,0.1688516274335361,7.959583333333451,8.360000000001264,4.007543715143849,5.896604166666977,9.945479166666347,0.2607757391647649,0.2656000050317524,0.014493050559470763,0.25295180623387625,0.26792654042001646,1.1130164416322754,1.1491303913889654,0.13001524761581718,1.0386256934135887,1.1711313824838148,385.0,392.0,45.58508528016593,359.74375,408.8395833333333,18.19721980886186,16.81798436142485,7.039501780413862,14.683193961772373,21.726303214596005,42.0,48.0,10.954451150103322,35.99583333333334,47.333333333333336,0.6457842879368548,0.7182862019630005,0.24519949085442314,0.5167950834497876,0.7759300454797762,0.1610882943586725,0.1584336690255187,0.01145671889496434,0.1550766380963165,0.1675751864033786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,12,12.702083333332695,13.43500000000131,6.8351057245053894,8.756437499999345,16.223406250000014,25.471666666666664,25.3125,2.735846497997661,24.106239583333338,27.028666666666666,-12.769583333333971,-10.990000000000455,7.880162220970145,-17.44347916666779,-8.771864583333468,0.14991656171680648,0.1585671919825693,0.09630165149316075,0.09665038334722023,0.20247009584243925,7.954166666667125,6.897500000000946,4.359264342301353,5.870937500000774,10.371291666667188,0.24704900344052239,0.24638024547706627,0.014150950545524803,0.2393420065947238,0.2544396657759204,1.0904397723219146,1.084774178007949,0.13877691980230852,1.0125297215829818,1.1629977943975578,358.25,356.0,37.44844941564822,338.82916666666665,379.66875,24.76209093541848,24.475238922675935,4.7341622008871225,22.3589740805097,27.368871271358238,50.0,50.0,0.0,50.0,50.0,0.8100047597194736,0.8396955383358733,0.16935613418727358,0.7110483973170887,0.896322872276216,0.17619090194408868,0.17645112833087478,0.008465959061795841,0.17124302926514667,0.18071029771950178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10,12,8.090833333335013,8.515000000002601,10.55759288021021,2.460187500000287,13.222520833335661,33.08291666666667,31.6,4.002531277677651,31.097479166666663,35.41385416666667,-24.99208333333166,-22.587499999996627,12.413045457819877,-31.66612499999877,-18.98922916666419,0.09130764163334205,0.08712152830403813,0.10963093235827999,0.03272151645726842,0.14643488925352635,11.565416666666076,9.6924999999992,5.853681614758999,8.64004166666607,14.684114583332107,0.23333397649093493,0.23231355604019321,0.019708564795121047,0.2239372516164785,0.2447495895285806,1.0598701155002173,1.0345641796446148,0.13957000172319628,0.9877474755109364,1.1322398983019362,340.0,327.5,35.02726210980657,322.6625,360.0875,26.9191282942369,27.54344048653345,4.2981224684702966,24.64401245293947,28.999323052418188,50.0,50.0,0.0,50.0,50.0,0.8893838439551623,0.908297082671891,0.13095196550648858,0.8210187295513982,0.956513843464985,0.18682589014215445,0.18766784416050386,0.007778620541386453,0.1824318190114347,0.19096314859133348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20,12,8.99333333333322,10.629999999998745,10.75313766753619,3.6550833333318753,14.608916666666776,38.95083333333333,37.485,4.991800018454508,36.41070833333334,41.55498958333333,-29.95750000000011,-28.13750000000162,10.590115352621032,-35.8915625000018,-24.126885416667022,0.09660975766068165,0.09774524632096883,0.1112285332267623,0.04223660135089413,0.15611521779154106,11.002083333334156,10.907500000001164,3.6829795610308484,8.972812500000849,12.987250000001142,0.21944657092285091,0.2215867990397014,0.014130664835591394,0.211980130963898,0.2266530580562744,0.911462431088531,0.8785871532909972,0.18391338020572487,0.8113200232802161,1.0126721784271073,323.6666666666667,318.5,29.292671541882385,308.6645833333333,339.25,27.421951925861574,27.25412684622068,2.76313471389822,25.993619678540398,29.014994207935132,50.0,50.0,0.0,50.0,50.0,0.9168963027621285,0.8440414823328626,0.14768194452856384,0.8405243593134596,1.0007623369140937,0.1959897296169073,0.19629672264167614,0.00742820738189726,0.19174198000136816,0.1998794005854013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,12,2.7899999999998024,2.8750000000000426,0.7171598021489684,2.432083333333201,3.1920937499998026,8.083333333333334,8.067499999999999,0.9183912152467621,7.5910625,8.58625,-5.293333333333531,-5.172500000000248,1.0544070572717157,-5.857583333333677,-4.722854166666846,0.27390231255737385,0.2513236633712665,0.08830005503978434,0.2295081930814797,0.3245457114749882,0.743750000000008,0.6524999999999466,0.2512977679603114,0.6195416666666796,0.8875625000000329,0.2562881429757824,0.2526019324927423,0.012469077873369518,0.24989746211588035,0.2630066874502928,1.2417458967915884,1.2610780619511037,0.18078015694177668,1.1457679133855305,1.3358688667266287,390.4166666666667,386.5,41.981507472897746,367.3208333333333,414.4166666666667,1.7850419924703156,1.7510860121633363,0.15129152868823814,1.7142991601505935,1.868362655661743,7.666666666666667,8.0,1.2309149097933272,7.0,8.333333333333334,0.09065173372062396,0.08975488281285744,0.013024833845190317,0.08434350908213509,0.09827235668910647,0.15060810408773542,0.1485475422590858,0.01082303832028638,0.14453957172418172,0.15694830756884576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,2,12,4.677916666666461,4.502499999999678,1.568004606807548,3.813187499999857,5.544593749999887,14.874166666666667,14.205,1.9703493383538655,13.827833333333336,16.026781249999996,-10.196250000000205,-9.81500000000037,2.3505822537868712,-11.621635416666747,-8.98385416666704,0.2979932110465542,0.28604751880529267,0.13251712043572217,0.22589439283523383,0.37356272281755565,1.2991666666666812,1.1425000000000125,0.6674743213764035,0.9749270833333641,1.6944895833332803,0.25178736972705235,0.24973647693912643,0.011427829716291558,0.24552571995563122,0.25811396768896666,1.2418070438157645,1.2622111004304761,0.20229842400109949,1.1386969440836954,1.3474565357505839,406.6666666666667,391.0,52.89154139855589,378.5,437.8458333333333,2.632638285548798,2.6346655082536925,0.2663712036286752,2.497706704315088,2.777018172603533,13.333333333333334,13.0,1.775250729197189,12.333333333333334,14.333333333333334,0.14497429622723254,0.13490688484058339,0.030550030713105195,0.12938410557679653,0.16248328796795666,0.14804669655922517,0.15226303652536366,0.012429514295783973,0.14084284218889687,0.15460298160985403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,5,12,5.492083333333387,5.7999999999998835,2.6148061446778708,4.1463125000000876,6.940489583333477,25.122083333333336,24.655,2.4751882006804813,23.9338125,26.517354166666667,-19.62999999999995,-18.809999999999874,4.295069054371733,-21.886927083333397,-17.419499999999697,0.21565815336054492,0.22970413872856538,0.10644146262300161,0.15826678638744074,0.27027600641229715,2.3766666666665848,1.9449999999998795,1.3603046673002055,1.7166249999998766,3.165447916666627,0.2371174037342003,0.2337765352215355,0.01399011131915732,0.2306017645210339,0.24528479098982725,1.3514155103575816,1.36124879051094,0.2564451766624714,1.2195703097360715,1.4983829378010165,377.0,373.5,37.68047480882084,357.57916666666665,398.4270833333333,3.87141615986099,3.908774978279757,0.45538892225987004,3.6302436287286417,4.116512814943528,22.0,22.0,3.2192602199319587,20.166666666666668,23.666666666666668,0.24032332480318822,0.23415309661342604,0.051505551311961766,0.2163909833472268,0.2698031488460489,0.16003037698845288,0.1599540553333748,0.006908248661889131,0.15632401297048096,0.16347354138179723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,12,4.411249999999984,4.890000000000441,5.9739678168930155,1.381697916666493,7.522343750000133,34.25791666666667,33.4725,4.119162237382596,32.10101041666667,36.48707291666666,-29.846666666666682,-29.197499999999494,8.084466118689814,-34.08894791666685,-25.652468749999965,0.13925068874345486,0.14384684598305653,0.13708094342080893,0.0734585243300308,0.21687380499601078,4.797083333333295,2.9650000000001455,3.8392799149255348,2.8857500000000833,6.770124999999937,0.22894247716868021,0.22480964454267516,0.014323100942391824,0.22124673663370925,0.2365101998172675,1.3434126514567175,1.2219968808974628,0.27274109984662653,1.2033695456047078,1.4821942147096405,393.8333333333333,391.5,48.62441087903619,368.6645833333333,420.3333333333333,5.102157544164495,5.081668114682884,0.46762650907584496,4.845704821894005,5.3550662467419645,31.916666666666668,31.0,5.384461369758747,29.25,34.833333333333336,0.4283889066060949,0.34571523770169993,0.22532355458032755,0.32199346629928793,0.5540797872945293,0.16209656970566774,0.15941972651680544,0.009857949194344868,0.15697280017140608,0.16739503091538593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,20,12,-1.1341666666668762,1.495000000000175,11.36227266665973,-6.793437500000315,4.849104166666752,41.19916666666666,41.4025,5.135652491665642,38.54905208333333,43.868416666666675,-42.33333333333354,-39.792500000000544,13.049828688066636,-49.026947916667,-35.81677083333341,0.05356023699164552,0.035135736240754105,0.16879491430097499,-0.027990519999615264,0.14969939575608507,10.341666666666784,7.834999999999511,7.9706659164410345,6.3414583333334695,14.48397916666665,0.22390216966513232,0.22468844110837027,0.013346740699128744,0.2162524537202503,0.23125958737368038,1.5895445963876622,1.5628133068663201,0.4268336504427604,1.3652800540625643,1.7956080447958829,399.1666666666667,404.0,46.686251301706164,375.1645833333333,423.84375,5.750144801621778,5.8879235447437015,0.6642554624811776,5.40310418476687,6.083771358239212,38.166666666666664,41.0,5.356955263670745,35.416666666666664,40.916666666666664,0.6763921901851345,0.5173081126804392,0.359262947514209,0.49881988916364156,0.8696038828492706,0.1626631033426858,0.16787954079079323,0.012005055131630202,0.15561559602646372,0.1690570558396139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
