fundamental_sigma,flow_intensity_x,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi,strategy
0.01,0.5,12,-18.37041666666669,-14.417499999999592,16.92807988068821,-27.530093749999775,-9.714833333333626,35.895,35.5825,5.210875864259988,33.315625000000004,38.504281250000005,-54.26541666666669,-51.1449999999996,21.258325904575344,-65.59489583333325,-43.624010416666636,-0.21443909247510695,-0.2669686326132145,0.1667847618716629,-0.29217230441164144,-0.1159086140780299,21.036666666666676,15.992499999999694,15.741758931022192,12.990739583333426,29.50594791666659,0.263723033480085,0.2617358231929978,0.008422259368749695,0.2596773624161886,0.2686447114892169,2.9787382332092496,2.781237259261898,0.9125884927912438,2.506895325911154,3.477798301608483,523.5,529.5,65.58755425175781,488.6625,558.4229166666667,2.3310889081957717,2.3774978279756733,0.1301768190481269,2.2565884737909063,2.394807051838981,17.25,16.5,3.3878123807661966,15.416666666666666,18.835416666666664,0.6053222681358743,0.5206596857114921,0.3178463981034446,0.44461305805071677,0.7846750111922427,0.12725052183028665,0.12275725135368964,0.01346791014936718,0.12023607074675033,0.13485277261141168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.01,1.0,12,6.368333333333343,6.515000000000157,3.107441459503612,4.650156250000144,7.968510416666695,18.487083333333334,17.972500000000004,2.1729488325287094,17.339802083333332,19.610708333333335,-12.118749999999991,-11.52000000000021,4.034328334882504,-14.222552083333298,-10.031770833333418,0.3674763767740859,0.4329007278637342,0.1893342970571398,0.2638216870254778,0.460865958940444,1.3312500000000362,0.8050000000000637,1.3037570273497279,0.7196041666667171,2.0569791666668484,0.20451540621950737,0.20406485271881436,0.015759110089291182,0.19567079016912295,0.21217811560697442,1.1817405597705255,1.0979076504257992,0.37070234295999277,1.0034690566103937,1.3890403143789358,283.0833333333333,282.5,35.99610669183123,262.825,301.91875,2.541413263828555,2.5755864465682015,0.1385605225504937,2.467625977410947,2.6073414422241528,16.5,15.0,4.757768766592554,14.164583333333333,19.25,0.16493898888077207,0.15786426935593476,0.040316788113492395,0.14476117256143617,0.18729120993507728,0.1846296454269736,0.18488234708853069,0.011185888300612056,0.1787728158235489,0.1907450168850092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.01,2.0,12,3.978749999999993,4.035000000000053,0.6924466668007959,3.6175000000000583,4.345468749999783,6.517916666666667,6.385,0.9128612817383427,6.062802083333333,7.031302083333333,-2.5391666666666732,-2.639999999999907,0.628934283795622,-2.8608750000000684,-2.2133229166666646,0.3797715539202815,0.3804925621912484,0.05638291055432742,0.3472007711906106,0.40874578123621813,0.36250000000002086,0.30250000000006594,0.17927251982288656,0.27625000000002337,0.47167708333338315,0.10794546922661212,0.1080912558685446,0.012848007452544663,0.10089220044359966,0.1145674987673175,0.7511256722585182,0.8012771897658137,0.16771232092489616,0.6603442052196149,0.8377323797201641,106.0,103.5,14.199871958449613,98.58333333333333,114.00208333333333,2.4077613669273092,2.3935708079930498,0.22538853327728625,2.2841080220098466,2.5276733999420795,11.916666666666666,11.5,3.028901190901153,10.414583333333333,13.502083333333331,0.09200270736980008,0.09476701176529598,0.01509683716296124,0.08392853721217389,0.09945365212824266,0.25705969445252186,0.25530645623861425,0.010111492984585987,0.2516112075808172,0.2627870405913719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.02,0.5,12,-22.189583333333157,-22.04000000000039,11.181480113915086,-27.903885416666498,-15.931802083333178,40.43750000000001,39.2475,5.0763424109024875,37.94616666666666,43.18118750000001,-62.62708333333316,-61.452499999999645,14.879832211042823,-70.4291041666666,-54.7351666666667,-0.29822793622359695,-0.33150131896201596,0.10355737192115981,-0.34687201692265235,-0.23807326540385057,24.105833333333152,22.68000000000032,10.599415685724734,18.259770833332777,29.579770833333072,0.26846148400465375,0.26787549407114625,0.008946991648924922,0.2639387138894315,0.2734694131701658,3.2099434564003477,3.060477629517555,0.6305563743347812,2.8550411688081545,3.5442267344871454,579.6666666666666,569.0,62.38055252507254,547.6624999999999,613.4270833333333,2.517883000289603,2.5125977410947002,0.20289145324351024,2.4106465392412395,2.6274254271647846,17.0,17.0,2.891995221924885,15.5,18.583333333333332,0.6159358059276413,0.5097980272492333,0.23069249265844924,0.49307874231862503,0.7409752398563364,0.1159133481993536,0.1152059931321189,0.00951590536979835,0.1110461748513173,0.12086940011127942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.02,1.0,12,4.724583333333595,5.235000000000667,3.022616610528055,3.1455312500003254,6.208010416666457,22.904583333333335,22.85,2.9668888344628974,21.459093749999997,24.665322916666668,-18.17999999999974,-17.30750000000014,4.925487977670799,-21.1109687499997,-15.851072916666583,0.22474495741819042,0.22071072850373144,0.16742889709475095,0.1390335822165126,0.3166765554125688,2.5883333333332375,2.0324999999998425,1.951810736601922,1.632833333333269,3.7079895833331133,0.22106351658643333,0.21845984977612576,0.009244361727973443,0.2164336767889367,0.22649437099255942,1.4375227844051153,1.367728292058044,0.2719122186734358,1.3013918221217537,1.589538037690167,349.8333333333333,345.0,37.925365302569375,330.83124999999995,371.7520833333333,2.408774978279757,2.402693310165074,0.17386597470457743,2.3188477410947,2.4979275267882994,17.0,17.5,4.0451991747794525,14.833333333333334,19.416666666666668,0.23055154422523463,0.20143675504820063,0.08999430718948363,0.18526130113119194,0.2830004356668483,0.16049225960025318,0.1629884230702232,0.010005731571168018,0.15448324587474593,0.1654753863824217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.02,2.0,12,4.111249999999965,4.227500000000106,1.1925071469197601,3.458072916666587,4.735010416666729,8.919166666666667,8.670000000000002,1.3930979756273318,8.242864583333334,9.7163125,-4.807916666666702,-4.21000000000001,1.8007971193755734,-5.843385416666637,-3.8916562500000427,0.31724998264741777,0.3648593290105663,0.10993101516135369,0.2531551573626359,0.3720858055061191,0.6850000000000213,0.5024999999999835,0.5384995990545809,0.4378854166666337,1.0129375000001108,0.12662723212735577,0.12235271963209642,0.01253747256564918,0.12045722633199865,0.13410309617187013,0.8791015760822088,0.867932467059876,0.25868218509884267,0.7422795882330867,1.0233616055708756,143.41666666666666,136.5,22.793373571893188,132.07708333333335,156.26041666666666,2.4688676513176944,2.493483927019983,0.2853616669119291,2.315008688097307,2.622746524761077,14.416666666666666,12.5,4.640892025018335,12.25,17.085416666666664,0.12090110250003917,0.11685694478858177,0.03221691308120367,0.10598823404514936,0.14024010602900816,0.22318313342474885,0.2254673752253571,0.012788396371323308,0.21651990256344317,0.23016958498094212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.03,0.5,12,-44.335416666666674,-42.49999999999966,16.478122887680897,-53.17293750000009,-35.76456250000021,48.28125,47.375,6.709438441818023,44.699458333333325,51.74791666666666,-92.61666666666667,-88.5949999999995,21.774585303778238,-103.66724999999983,-80.90621874999985,-0.3586766330861415,-0.3785266312216098,0.08386280174039944,-0.40041945874672313,-0.3133896783561679,45.74041666666676,43.83499999999984,16.56635259937959,37.04375000000015,54.65700000000009,0.2745318966510974,0.27446729369254474,0.0058244339658753705,0.2715310931170423,0.277625588057059,4.15512952508863,4.005652449884422,0.8472130304626015,3.7331068582995957,4.6166372750703415,632.4166666666666,630.0,49.91712829249792,605.0833333333334,657.0020833333333,2.677816391543585,2.701563857515204,0.19617227476057034,2.5721057775847087,2.783530625543006,20.416666666666668,18.5,4.337119558025356,18.25,22.666666666666668,1.1135665260846876,0.963495494228753,0.5047027259941491,0.8819816820796713,1.455272710008132,0.10720501627789154,0.10680533309811624,0.007099273960310955,0.10371141945657507,0.11111388709895355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.03,1.0,12,2.6799999999998243,3.04000000000012,3.918164574946203,0.4639583333332092,4.4914166666666695,24.870833333333334,24.4875,3.325838809665734,23.097666666666672,26.71825,-22.19083333333351,-20.622500000000777,5.768052228885561,-25.425906250000068,-19.397656250000182,0.1404237143993773,0.12440455627665745,0.14324206322165958,0.06477497156860157,0.2115750280025167,3.1841666666666213,2.372499999999917,2.9997074352292388,1.917770833333297,4.951187499999902,0.22839858103221952,0.22729481263982104,0.015445542377279516,0.22018877124317712,0.23653570421613748,1.541082225577591,1.5529501678625501,0.2718458051038523,1.3947284626404601,1.6820700472283001,387.0,383.0,59.4887307891931,356.9125,420.0083333333333,2.562264697364611,2.571676802780191,0.22566404998705655,2.441496524761077,2.673037938024906,16.833333333333332,17.5,1.9462473604038075,15.75,17.833333333333332,0.24584969389525102,0.2190549798251215,0.1252432217953919,0.19789093295520344,0.3206220770845608,0.14999034303077752,0.15180763713769085,0.012996734172106459,0.14244202585032686,0.15666576332783994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.03,2.0,12,4.21624999999992,4.004999999999939,1.4232742740212279,3.5094999999999943,5.012124999999676,9.571250000000001,9.015,2.1611887774597993,8.488510416666667,10.764729166666667,-5.355000000000082,-4.664999999999991,1.8094901341137108,-6.434677083333657,-4.5040937500000355,0.33548345860123474,0.3849125336519899,0.11579533361672247,0.2748995901019731,0.3981018844321888,0.6908333333333303,0.5724999999999056,0.5377893865096662,0.4466145833333631,1.0059375000000337,0.1336005802196098,0.12385787755803217,0.020974072564365225,0.12233804527454785,0.144424792769901,0.8185253811307865,0.75666692992155,0.22143124116959478,0.7185474919235166,0.9520043154190776,155.66666666666666,147.5,32.429877731761025,139.16666666666666,173.66666666666666,2.4819721980886187,2.4669852302345787,0.26726806878519904,2.345400738488271,2.633099840718216,14.416666666666666,14.5,3.1754264805429413,12.666666666666666,16.166666666666668,0.1119728131014297,0.10798476104161117,0.017416529280333066,0.10319237575571867,0.12113526135051708,0.21669229922000677,0.21821239384619595,0.013784991347985241,0.2095890655669856,0.22406055939735794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.05,0.5,12,-46.702083333333384,-43.534999999999684,14.286424016325663,-53.771041666666896,-39.085395833333386,50.00666666666667,49.83,5.994076368812088,47.24989583333333,53.44214583333333,-96.70875000000005,-93.46999999999969,18.849379435770352,-106.17410416666687,-86.97476041666683,-0.417703382986886,-0.42300472325599686,0.06058778896096688,-0.44686299377134514,-0.3813293809752606,47.56958333333336,44.267499999999785,14.204541280605577,39.98341666666662,54.597447916666795,0.27690215321401707,0.27801522853725624,0.009329640958035871,0.2720627351378399,0.281699733544662,4.167955011729818,4.094579037692831,0.7547136459323068,3.788612946410991,4.561855776902166,662.9166666666666,664.0,51.4948511695072,636.3333333333334,690.1666666666666,2.844772661453808,2.8327541268462206,0.27445346313461666,2.705889805965827,2.9848845207066317,19.833333333333332,19.0,3.8573031873042956,17.99791666666667,22.166666666666668,0.9751878896741594,0.8707250644464853,0.2763112647895711,0.8298511086067314,1.1197026725275987,0.10343641670818955,0.10334643045162059,0.004944295604358004,0.10089949622388213,0.10594847760998614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
